x,y
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,103
4,104
4,105
4,106
4,107
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,117
4,118
4,119
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
4,128
4,129
4,130
4,131
4,132
4,133
4,134
4,135
4,136
4,137
4,138
4,139
4,140
4,141
4,142
4,143
4,144
4,145
4,146
4,147
4,148
4,149
4,150
4,151
4,152
4,153
4,154
4,155
4,156
4,157
4,158
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,171
4,172
4,173
4,174
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,186
4,187
4,188
4,189
4,190
4,191
4,192
4,193
4,194
4,195
4,196
4,197
4,198
4,199
4,200
4,201
4,202
4,203
4,204
4,205
4,206
4,207
4,208
4,209
4,210
4,211
4,212
4,213
4,214
4,215
4,216
4,217
4,218
4,219
4,220
4,221
4,222
4,223
4,224
4,225
4,226
4,227
4,228
4,229
4,230
4,231
4,232
5,54
5,55
5,56
5,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
5,65
5,66
5,67
5,68
5,69
5,70
5,71
5,72
5,233
5,234
5,235
5,236
5,237
5,238
5,239
6,54
6,239
7,54
7,239
8,54
8,239
9,54
9,239
10,54
10,239
11,54
11,239
12,54
12,239
13,54
13,239
14,54
14,239
15,55
15,239
16,55
16,239
17,55
17,239
18,55
18,239
19,55
19,239
20,55
20,239
21,55
21,239
22,55
22,239
23,55
23,239
24,55
24,239
25,55
25,239
26,55
26,239
27,55
27,239
28,55
28,239
29,55
29,239
30,55
30,239
31,55
31,239
32,55
32,239
33,55
33,239
34,55
34,239
35,55
35,239
36,55
36,239
37,55
37,239
38,55
38,239
39,55
39,239
40,55
40,239
41,55
41,239
42,55
42,239
43,55
43,239
44,54
44,239
45,54
45,239
46,54
46,239
47,54
47,239
48,54
48,239
49,54
49,239
50,54
50,239
51,53
51,239
52,53
52,239
53,53
53,239
54,52
54,239
55,52
55,239
56,52
56,239
57,51
57,239
58,51
58,239
59,51
59,239
60,50
60,239
61,50
61,239
62,14
62,15
62,16
62,17
62,18
62,19
62,49
62,239
63,13
63,20
63,49
63,239
64,12
64,21
64,48
64,239
65,11
65,22
65,47
65,239
66,10
66,23
66,47
66,239
67,10
67,24
67,46
67,239
68,9
68,25
68,45
68,239
69,8
69,26
69,44
69,239
70,7
70,27
70,43
70,239
71,7
71,28
71,42
71,239
72,7
72,29
72,30
72,41
72,239
73,6
73,31
73,40
73,239
74,6
74,32
74,33
74,34
74,35
74,36
74,37
74,38
74,39
74,239
75,6
75,239
76,6
76,239
77,5
77,239
78,5
78,239
79,5
79,239
80,5
80,239
81,5
81,239
82,4
82,239
83,4
83,239
84,4
84,239
85,4
85,239
86,4
86,239
87,4
87,239
88,4
88,239
89,5
89,239
90,5
90,239
91,5
91,239
92,5
92,239
93,5
93,239
94,5
94,239
95,5
95,240
96,6
96,240
97,6
97,240
98,6
98,240
99,6
99,240
100,6
100,240
101,7
101,240
102,7
102,240
103,7
103,240
104,8
104,240
105,8
105,240
106,8
106,240
107,9
107,240
108,9
108,240
109,10
109,240
110,10
110,240
111,10
111,240
112,11
112,38
112,39
112,40
112,41
112,240
113,11
113,36
113,37
113,42
113,43
113,240
114,12
114,34
114,35
114,44
114,240
115,12
115,33
115,45
115,239
116,13
116,32
116,46
116,239
117,13
117,30
117,31
117,47
117,239
118,14
118,29
118,48
118,239
119,14
119,28
119,49
119,239
120,15
120,27
120,49
120,239
121,15
121,26
121,50
121,239
122,16
122,25
122,50
122,239
123,17
123,18
123,23
123,24
123,51
123,239
124,19
124,20
124,21
124,22
124,51
124,239
125,52
125,239
126,52
126,239
127,53
127,239
128,53
128,239
129,54
129,239
130,54
130,239
131,54
131,239
132,54
132,239
133,55
133,239
134,55
134,239
135,55
135,148
135,149
135,150
135,151
135,152
135,153
135,154
135,155
135,156
135,157
135,239
136,55
136,145
136,146
136,147
136,158
136,159
136,160
136,239
137,56
137,142
137,143
137,144
137,161
137,162
137,239
138,56
138,140
138,141
138,163
138,239
139,56
139,139
139,164
139,165
139,239
140,56
140,137
140,138
140,166
140,239
141,56
141,136
141,167
141,239
142,56
142,135
142,168
142,239
143,56
143,134
143,169
143,239
144,56
144,133
144,170
144,239
145,57
145,132
145,171
145,239
146,57
146,132
146,171
146,239
147,57
147,131
147,172
147,239
148,57
148,130
148,172
148,239
149,57
149,130
149,172
149,239
150,57
150,129
150,173
150,239
151,57
151,129
151,173
151,239
152,57
152,129
152,173
152,239
153,57
153,129
153,173
153,239
154,57
154,128
154,173
154,239
155,57
155,128
155,173
155,239
156,57
156,128
156,173
156,239
157,57
157,128
157,173
157,239
158,57
158,128
158,173
158,239
159,56
159,128
159,173
159,239
160,56
160,129
160,173
160,239
161,56
161,129
161,172
161,239
162,56
162,129
162,172
162,239
163,56
163,129
163,172
163,239
164,56
164,130
164,172
164,239
165,56
165,130
165,172
165,239
166,56
166,131
166,171
166,239
167,56
167,131
167,171
167,239
168,56
168,132
168,171
168,239
169,56
169,132
169,171
169,239
170,56
170,133
170,170
170,239
171,56
171,133
171,170
171,239
172,55
172,133
172,170
172,239
173,55
173,134
173,169
173,239
174,55
174,134
174,169
174,239
175,55
175,134
175,169
175,239
176,55
176,134
176,168
176,239
177,55
177,135
177,168
177,239
178,55
178,135
178,168
178,239
179,55
179,135
179,168
179,239
180,55
180,135
180,168
180,239
181,55
181,135
181,168
181,239
182,54
182,135
182,168
182,239
183,54
183,135
183,167
183,239
184,54
184,135
184,167
184,239
185,54
185,135
185,167
185,239
186,54
186,135
186,167
186,239
187,54
187,135
187,167
187,239
188,54
188,135
188,167
188,239
189,54
189,135
189,168
189,239
190,54
190,135
190,168
190,239
191,55
191,134
191,168
191,239
192,55
192,134
192,168
192,236
192,237
192,238
193,56
193,57
193,58
193,59
193,134
193,168
193,234
193,235
194,60
194,61
194,62
194,133
194,169
194,232
194,233
195,63
195,64
195,133
195,169
195,231
196,65
196,66
196,67
196,133
196,170
196,228
196,229
196,230
197,68
197,69
197,70
197,132
197,170
197,226
197,227
198,71
198,72
198,131
198,171
198,224
198,225
199,73
199,74
199,131
199,171
199,222
199,223
200,75
200,76
200,130
200,172
200,220
200,221
201,77
201,78
201,79
201,129
201,172
201,218
201,219
202,80
202,81
202,128
202,173
202,215
202,216
202,217
203,82
203,83
203,126
203,127
203,174
203,213
203,214
204,84
204,85
204,86
204,125
204,175
204,211
204,212
205,87
205,88
205,89
205,123
205,124
205,176
205,208
205,209
205,210
206,90
206,91
206,92
206,121
206,122
206,177
206,178
206,205
206,206
206,207
207,93
207,94
207,95
207,96
207,118
207,119
207,120
207,179
207,202
207,203
207,204
208,97
208,98
208,99
208,100
208,101
208,113
208,114
208,115
208,116
208,117
208,180
208,181
208,182
208,183
208,198
208,199
208,200
208,201
209,102
209,103
209,104
209,105
209,106
209,107
209,108
209,109
209,110
209,111
209,112
209,184
209,185
209,186
209,187
209,188
209,189
209,190
209,191
209,192
209,193
209,194
209,195
209,196
209,197
