x,y,order
7,10,0
7,11,1
7,12,2
7,13,3
7,14,4
7,15,5
7,16,6
7,17,7
7,18,8
7,19,9
7,20,10
7,21,11
7,22,12
7,23,13
7,24,14
7,25,15
7,26,16
7,27,17
7,28,18
7,29,19
7,30,20
7,31,21
7,32,22
7,33,23
7,34,24
7,35,25
7,36,26
7,37,27
7,38,28
7,39,29
7,40,30
7,41,31
7,42,32
7,43,33
7,44,34
7,45,35
7,46,36
7,47,37
7,48,38
7,49,39
7,50,40
7,51,41
7,52,42
7,53,43
7,54,44
7,55,45
7,56,46
7,57,47
7,58,48
7,59,49
7,60,50
7,61,51
7,62,52
7,63,53
7,64,54
7,65,55
7,66,56
7,67,57
7,68,58
7,69,59
7,70,60
7,71,61
7,72,62
7,73,63
7,74,64
7,75,65
7,76,66
7,77,67
7,78,68
7,79,69
7,80,70
7,81,71
7,82,72
7,83,73
7,84,74
7,85,75
7,86,76
7,87,77
7,88,78
7,89,79
7,90,80
7,91,81
7,92,82
7,93,83
7,94,84
7,95,85
7,96,86
7,97,87
7,98,88
7,99,89
7,100,90
7,101,91
7,102,92
7,103,93
7,104,94
7,105,95
7,106,96
7,107,97
7,108,98
7,109,99
7,110,100
7,111,101
7,112,102
7,113,103
7,114,104
7,115,105
7,116,106
7,117,107
7,118,108
7,119,109
7,120,110
7,121,111
7,122,112
7,123,113
7,124,114
7,125,115
7,126,116
7,127,117
7,128,118
7,129,119
7,130,120
7,131,121
7,132,122
7,133,123
7,134,124
7,135,125
7,136,126
7,137,127
7,138,128
7,139,129
7,140,130
7,141,131
7,142,132
7,143,133
7,144,134
7,145,135
7,146,136
7,147,137
7,148,138
7,149,139
7,150,140
7,151,141
7,152,142
7,153,143
7,154,144
7,155,145
7,156,146
7,157,147
7,158,148
7,159,149
7,160,150
7,161,151
7,162,152
7,163,153
7,164,154
7,165,155
7,166,156
7,167,157
7,168,158
7,169,159
7,170,160
7,171,161
7,172,162
7,173,163
7,174,164
7,175,165
7,176,166
7,177,167
7,178,168
7,179,169
7,180,170
7,181,171
7,182,172
8,183,173
8,184,174
8,185,175
8,186,176
8,187,177
8,188,178
8,189,179
8,190,180
8,191,181
8,192,182
8,193,183
8,194,184
8,195,185
8,196,186
8,197,187
8,198,188
8,199,189
9,199,190
10,198,191
11,198,192
12,198,193
13,198,194
14,198,195
15,199,196
16,199,197
17,199,198
18,199,199
19,199,200
20,199,201
21,199,202
22,199,203
23,199,204
24,199,205
25,199,206
26,199,207
27,199,208
28,199,209
29,199,210
30,199,211
31,199,212
32,199,213
33,199,214
34,199,215
35,199,216
36,199,217
37,199,218
38,199,219
39,199,220
40,199,221
41,199,222
42,199,223
43,199,224
44,199,225
45,199,226
46,199,227
47,199,228
48,198,229
49,198,230
50,198,231
51,198,232
52,198,233
53,197,234
54,197,235
55,197,236
56,197,237
57,197,238
58,196,239
59,196,240
60,195,241
61,195,242
62,195,243
63,194,244
64,194,245
65,193,246
66,193,247
67,192,248
68,191,249
69,191,250
70,190,251
71,190,252
72,189,253
73,188,254
74,187,255
75,186,256
76,185,257
76,184,258
77,183,259
77,182,260
78,181,261
78,180,262
78,179,263
78,178,264
78,177,265
78,176,266
77,175,267
77,174,268
77,173,269
76,172,270
76,171,271
75,170,272
74,169,273
73,168,274
72,167,275
71,166,276
70,165,277
69,164,278
68,163,279
67,162,280
66,161,281
66,160,282
66,159,283
66,158,284
66,157,285
67,156,286
68,155,287
69,155,288
70,154,289
71,153,290
72,153,291
73,152,292
74,151,293
75,151,294
76,150,295
77,150,296
