x,y
8,36
8,37
8,38
8,39
8,40
8,41
8,42
8,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,53
8,54
8,139
8,140
8,141
8,142
8,143
8,144
8,145
8,146
8,147
8,148
8,149
8,150
8,151
8,152
8,153
8,154
8,155
8,156
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,55
9,56
9,57
9,58
9,135
9,136
9,137
9,138
9,157
9,158
9,159
9,160
9,161
9,162
9,163
10,24
10,25
10,26
10,27
10,28
10,59
10,60
10,61
10,132
10,133
10,134
10,164
10,165
10,166
10,167
10,168
11,20
11,21
11,22
11,23
11,62
11,63
11,64
11,130
11,131
11,169
11,170
11,171
11,172
11,173
12,17
12,18
12,19
12,65
12,128
12,129
12,174
12,175
12,176
12,177
13,13
13,14
13,15
13,16
13,66
13,67
13,127
13,178
13,179
13,180
13,181
14,9
14,10
14,11
14,12
14,68
14,125
14,126
14,182
14,183
14,184
14,185
14,186
15,5
15,6
15,7
15,8
15,69
15,124
15,187
15,188
15,189
15,190
15,191
16,5
16,70
16,123
16,192
17,5
17,71
17,123
17,192
18,5
18,72
18,122
18,192
19,5
19,73
19,121
19,193
20,5
20,73
20,121
20,193
21,5
21,74
21,120
21,193
22,5
22,74
22,120
22,194
23,5
23,74
23,119
23,194
24,5
24,75
24,119
24,195
25,5
25,75
25,118
25,195
26,5
26,75
26,118
26,195
27,5
27,75
27,118
27,196
28,5
28,75
28,118
28,196
29,5
29,75
29,117
29,197
30,5
30,75
30,117
30,197
31,5
31,75
31,117
31,197
32,5
32,75
32,117
32,198
33,5
33,75
33,117
33,198
34,5
34,75
34,117
34,198
35,5
35,74
35,117
35,199
36,5
36,74
36,117
36,199
37,5
37,74
37,117
37,199
38,5
38,74
38,117
38,200
39,5
39,73
39,118
39,200
40,5
40,73
40,118
40,200
41,5
41,73
41,118
41,201
42,5
42,73
42,118
42,201
43,5
43,72
43,119
43,202
44,5
44,72
44,119
44,202
45,5
45,72
45,119
45,202
46,5
46,71
46,119
46,202
47,5
47,71
47,120
47,203
48,5
48,71
48,120
48,203
49,5
49,71
49,120
49,203
50,5
50,71
50,120
50,204
51,5
51,71
51,120
51,204
52,5
52,71
52,121
52,204
53,5
53,71
53,121
53,205
54,5
54,71
54,121
54,205
55,5
55,71
55,121
55,205
56,5
56,71
56,121
56,205
57,5
57,71
57,121
57,205
58,5
58,72
58,121
58,206
59,5
59,72
59,120
59,206
60,5
60,73
60,120
60,206
61,5
61,73
61,119
61,206
62,5
62,74
62,119
62,206
63,5
63,74
63,118
63,206
64,5
64,75
64,117
64,206
65,5
65,76
65,116
65,206
66,5
66,77
66,78
66,114
66,115
66,207
67,5
67,79
67,113
67,207
68,5
68,80
68,111
68,112
68,207
69,5
69,81
69,82
69,109
69,110
69,207
70,5
70,83
70,84
70,85
70,107
70,108
70,207
71,5
71,86
71,87
71,88
71,103
71,104
71,105
71,106
71,207
72,5
72,89
72,90
72,91
72,92
72,93
72,94
72,95
72,96
72,97
72,98
72,99
72,100
72,101
72,102
72,206
73,5
73,206
74,5
74,206
75,5
75,206
76,5
76,206
77,5
77,206
78,5
78,205
79,5
79,205
80,5
80,205
81,5
81,204
82,5
82,204
83,5
83,203
84,5
84,203
85,5
85,202
86,5
86,201
87,5
87,201
88,5
88,200
89,5
89,199
90,5
90,197
90,198
91,5
91,195
91,196
92,5
92,191
92,192
92,193
92,194
93,5
93,155
93,156
93,157
93,158
93,159
93,160
93,161
93,162
93,163
93,164
93,165
93,166
93,167
93,168
93,169
93,183
93,184
93,185
93,186
93,187
