x,y
7,104
7,105
7,106
7,107
7,108
7,109
7,110
7,111
8,100
8,101
8,102
8,103
8,112
8,113
8,114
8,115
9,97
9,98
9,99
9,116
9,117
10,95
10,96
10,118
11,94
11,119
11,120
12,92
12,93
12,121
13,91
13,122
13,123
14,89
14,90
14,124
15,89
15,125
16,87
16,88
16,125
17,87
17,126
18,86
18,127
19,85
19,127
20,85
20,128
21,84
21,128
22,84
22,128
23,83
23,129
24,83
24,129
25,83
25,129
26,83
26,129
27,82
27,129
28,82
28,129
29,82
29,129
30,82
30,129
31,82
31,129
32,83
32,129
33,83
33,129
34,83
34,128
35,83
35,128
36,83
36,128
37,84
37,128
38,84
38,127
39,85
39,127
40,85
40,127
41,85
41,126
42,86
42,126
43,87
43,126
44,87
44,126
45,87
45,125
46,88
46,125
47,88
47,125
48,88
48,125
49,89
49,124
50,89
50,124
51,89
51,124
52,89
52,124
53,89
53,123
54,89
54,123
55,89
55,123
56,89
56,123
57,89
57,123
58,89
58,123
59,89
59,123
60,89
60,123
61,89
61,123
62,89
62,123
63,89
63,123
63,193
64,10
64,11
64,89
64,124
64,191
64,192
64,194
65,10
65,12
65,13
65,14
65,88
65,124
65,189
65,190
65,194
66,10
66,15
66,16
66,17
66,88
66,124
66,187
66,188
66,194
67,10
67,18
67,19
67,20
67,87
67,125
67,185
67,186
67,194
68,9
68,21
68,22
68,87
68,125
68,183
68,184
68,194
69,9
69,23
69,24
69,25
69,86
69,125
69,181
69,182
69,194
70,9
70,26
70,27
70,85
70,126
70,179
70,180
70,194
71,9
71,28
71,29
71,85
71,126
71,177
71,178
71,194
72,9
72,30
72,31
72,84
72,127
72,175
72,176
72,194
73,9
73,32
73,33
73,34
73,83
73,128
73,173
73,174
73,194
74,9
74,35
74,36
74,82
74,129
74,170
74,171
74,172
74,194
75,8
75,37
75,38
75,81
75,129
75,168
75,169
75,194
76,8
76,39
76,40
76,41
76,79
76,80
76,130
76,131
76,166
76,167
76,194
77,8
77,42
77,43
77,44
77,78
77,132
77,163
77,164
77,165
77,194
78,8
78,45
78,46
78,47
78,75
78,76
78,77
78,133
78,160
78,161
78,162
78,194
79,8
79,48
79,49
79,50
79,51
79,73
79,74
79,134
79,135
79,157
79,158
79,159
79,194
80,8
80,52
80,53
80,54
80,55
80,56
80,68
80,69
80,70
80,71
80,72
80,136
80,137
80,152
80,153
80,154
80,155
80,156
80,194
81,8
81,57
81,58
81,59
81,60
81,61
81,62
81,63
81,64
81,65
81,66
81,67
81,138
81,139
81,140
81,141
81,142
81,143
81,144
81,145
81,146
81,147
81,148
81,149
81,150
81,151
81,194
82,8
82,194
83,8
83,194
84,7
84,194
85,7
85,194
86,7
86,194
87,7
87,194
88,7
88,194
89,7
89,194
90,7
90,194
91,7
91,194
92,7
92,194
93,7
93,194
94,7
94,194
95,7
95,194
96,7
96,194
97,7
97,194
98,7
98,194
99,7
99,194
100,7
100,194
101,7
101,194
102,7
102,194
103,7
103,194
104,8
104,194
105,8
105,194
106,8
106,194
107,8
107,194
108,8
108,194
109,8
109,194
110,8
110,194
111,9
111,194
112,9
112,194
113,9
113,194
114,9
114,194
115,9
115,194
116,10
116,194
117,10
117,194
118,10
118,194
119,11
119,194
120,11
120,194
121,11
121,194
122,12
122,194
123,12
123,194
124,13
124,194
125,13
125,194
126,14
126,194
127,14
127,194
128,15
128,194
129,16
129,194
130,16
130,194
131,17
131,194
132,18
132,41
132,42
132,43
132,44
132,45
132,194
133,19
133,39
133,40
133,46
133,194
134,20
134,38
134,47
134,194
135,21
135,36
135,37
135,48
135,194
136,22
136,35
136,49
136,194
137,23
137,33
137,34
137,49
137,194
138,24
138,25
138,31
138,32
138,50
138,194
139,26
139,27
139,28
139,29
139,30
139,50
139,194
140,51
140,194
141,51
141,194
142,52
142,194
143,52
143,194
144,52
144,194
145,52
145,194
146,53
146,194
147,53
147,194
148,53
148,194
149,53
149,194
150,53
150,194
151,53
151,194
152,54
152,194
153,54
153,194
154,54
154,194
155,54
155,194
156,54
156,194
157,54
157,194
158,54
158,194
159,54
159,194
160,54
160,194
161,54
161,194
162,54
162,194
163,54
163,194
164,54
164,194
165,54
165,194
166,53
166,194
167,53
167,194
168,53
168,194
169,53
169,194
170,53
170,194
171,53
171,194
172,52
172,194
173,52
173,194
174,52
174,194
175,52
175,194
176,51
176,194
177,51
177,194
178,51
178,194
179,51
179,194
180,50
180,194
181,50
181,194
182,49
182,194
183,49
183,194
184,48
184,194
185,48
185,194
186,47
186,194
187,46
187,194
188,46
188,194
189,20
189,21
189,22
189,23
189,24
189,25
189,26
189,27
189,28
189,29
189,30
189,31
189,45
189,194
190,18
190,19
190,32
190,44
190,194
191,17
191,33
191,34
191,42
191,43
191,194
192,15
192,16
192,35
192,36
192,37
192,38
192,39
192,40
192,41
192,194
193,14
193,194
194,13
194,194
195,12
195,93
195,94
195,95
195,96
195,97
195,98
195,99
195,100
195,101
195,102
195,194
196,12
196,87
196,88
196,89
196,90
196,91
196,92
196,103
196,104
196,105
196,106
196,107
196,194
197,11
197,84
197,85
197,86
197,108
197,109
197,110
197,111
197,194
198,10
198,82
198,83
198,112
198,113
198,194
199,10
199,80
199,81
199,114
199,115
199,116
199,194
200,10
200,79
200,117
200,118
200,194
201,9
201,78
201,119
201,120
201,194
202,9
202,76
202,77
202,121
202,194
203,9
203,75
203,122
203,123
203,194
204,8
204,75
204,124
204,125
204,194
205,8
205,74
205,126
205,194
206,8
206,73
206,127
206,194
207,8
207,72
207,128
207,194
208,7
208,72
208,129
208,194
209,7
209,72
209,130
209,194
210,7
210,73
210,130
210,194
211,7
211,73
211,130
211,194
212,7
212,73
212,130
212,194
213,7
213,74
213,130
213,194
214,7
214,75
214,129
214,194
215,7
215,75
215,128
215,194
216,6
216,76
216,128
216,194
217,6
217,77
217,127
217,194
218,6
218,77
218,126
218,194
219,6
219,78
219,125
219,194
220,6
220,78
220,125
220,194
221,6
221,79
221,124
221,194
222,6
222,79
222,123
222,194
223,6
223,80
223,123
223,194
224,6
224,80
224,122
224,194
225,6
225,80
225,122
225,194
226,6
226,80
226,121
226,194
227,6
227,80
227,121
227,194
228,6
228,80
228,120
228,194
229,6
229,81
229,120
229,194
230,6
230,80
230,120
230,194
231,7
231,80
231,120
231,194
232,7
232,80
232,120
232,194
233,7
233,80
233,120
233,194
234,7
234,80
234,120
234,194
235,7
235,79
235,121
235,194
236,7
236,79
236,121
236,194
237,7
237,78
237,122
237,194
238,7
238,77
238,78
238,122
238,194
239,7
239,76
239,123
239,194
240,7
240,76
240,124
240,194
241,7
241,74
241,75
241,125
241,194
242,7
242,73
242,126
242,194
243,7
243,71
243,72
243,127
243,194
244,7
244,70
244,128
244,129
244,194
245,7
245,67
245,68
245,69
245,130
245,194
246,7
246,65
246,66
246,131
246,194
247,7
247,62
247,63
247,64
247,132
247,133
247,134
247,194
248,7
248,8
248,59
248,60
248,61
248,135
248,136
248,194
249,9
249,56
249,57
249,58
249,137
249,138
249,194
250,10
250,51
250,52
250,53
250,54
250,55
250,139
250,140
250,141
250,142
250,186
250,187
250,188
250,189
250,190
250,191
250,192
250,193
250,194
251,10
251,11
251,12
251,13
251,14
251,15
251,16
251,17
251,41
251,42
251,43
251,44
251,45
251,46
251,47
251,48
251,49
251,50
251,143
251,144
251,145
251,146
251,147
251,148
251,149
251,172
251,173
251,174
251,175
251,176
251,177
251,178
251,179
251,180
251,181
251,182
251,183
251,184
251,185
252,18
252,19
252,20
252,21
252,22
252,23
252,24
252,25
252,26
252,27
252,28
252,29
252,30
252,31
252,32
252,33
252,34
252,35
252,36
252,37
252,38
252,39
252,40
252,150
252,151
252,152
252,153
252,154
252,155
252,156
252,157
252,158
252,159
252,160
252,161
252,162
252,163
252,164
252,165
252,166
252,167
252,168
252,169
252,170
252,171
