x,y
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
7,45
7,46
7,47
7,48
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
7,63
7,64
7,65
7,66
7,67
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,75
7,76
7,77
7,78
7,79
7,80
7,81
7,82
7,83
7,84
7,85
7,86
7,87
7,88
7,89
7,90
7,91
7,92
7,93
7,94
7,95
7,96
7,97
7,98
7,99
7,100
7,101
7,102
7,103
7,104
7,105
7,106
7,107
7,108
7,109
7,110
7,111
7,112
7,113
7,114
7,115
7,116
7,117
7,118
7,119
7,120
7,121
7,122
7,123
7,124
7,125
7,126
7,127
7,128
7,129
7,130
7,131
7,132
7,133
7,134
7,135
7,136
7,137
7,138
7,139
7,140
7,141
7,142
7,143
7,144
7,145
7,146
7,147
7,148
7,149
7,150
7,151
7,152
7,153
7,154
7,155
7,156
7,157
7,158
7,159
7,160
7,161
7,162
7,163
7,164
7,165
7,166
7,167
7,168
7,169
7,170
7,171
7,172
7,173
7,174
7,175
7,176
7,177
7,178
7,179
7,180
7,181
7,182
8,10
8,183
8,184
8,185
8,186
8,187
8,188
8,189
8,190
8,191
8,192
8,193
8,194
8,195
8,196
8,197
8,198
8,199
9,10
9,199
10,10
10,198
11,10
11,198
12,10
12,198
13,9
13,198
14,9
14,198
15,9
15,199
16,9
16,199
17,8
17,199
18,8
18,199
19,8
19,199
20,8
20,199
21,7
21,199
22,7
22,199
23,7
23,199
24,7
24,199
25,7
25,199
26,6
26,199
27,6
27,199
28,6
28,199
29,6
29,199
30,6
30,199
31,6
31,199
32,5
32,199
33,5
33,199
34,5
34,199
35,5
35,199
36,5
36,199
37,5
37,199
38,5
38,199
39,5
39,199
40,5
40,199
41,5
41,199
42,5
42,199
43,5
43,199
44,5
44,199
45,5
45,199
46,5
46,199
47,5
47,199
48,5
48,198
49,5
49,198
50,6
50,198
51,6
51,198
52,6
52,198
53,6
53,197
54,7
54,197
55,7
55,197
56,7
56,197
57,8
57,197
58,8
58,196
59,9
59,196
60,9
60,195
61,10
61,195
62,10
62,195
63,11
63,194
64,12
64,44
64,45
64,46
64,47
64,48
64,49
64,50
64,51
64,194
65,13
65,41
65,42
65,43
65,52
65,53
65,193
66,14
66,38
66,39
66,40
66,54
66,157
66,158
66,159
66,160
66,161
66,193
67,15
67,35
67,36
67,37
67,55
67,156
67,162
67,192
68,16
68,32
68,33
68,34
68,56
68,155
68,163
68,191
69,17
69,18
69,19
69,20
69,21
69,22
69,23
69,24
69,25
69,26
69,27
69,28
69,29
69,30
69,31
69,57
69,155
69,164
69,191
70,58
70,154
70,165
70,190
71,59
71,153
71,166
71,190
72,60
72,153
72,167
72,189
73,60
73,152
73,168
73,188
74,61
74,151
74,169
74,187
75,61
75,151
75,170
75,186
76,62
76,150
76,171
76,172
76,184
76,185
77,62
77,150
77,173
77,174
77,175
77,182
77,183
78,63
78,150
78,176
78,177
78,178
78,179
78,180
78,181
79,63
79,149
80,64
80,149
81,64
81,149
82,64
82,149
83,64
83,148
84,65
84,148
85,65
85,148
86,65
86,148
87,65
87,148
88,66
88,148
89,66
89,148
90,66
90,148
91,66
91,148
92,66
92,148
93,66
93,148
94,66
94,149
95,67
95,149
96,67
96,149
97,67
97,149
98,67
98,149
99,67
99,150
100,67
100,150
101,66
101,150
102,66
102,150
103,66
103,151
104,66
104,151
105,66
105,151
106,66
106,152
107,65
107,152
108,65
108,152
109,64
109,153
110,64
110,153
111,64
111,153
112,28
112,29
112,30
112,31
112,32
112,33
112,34
112,35
112,36
112,37
112,38
112,39
112,40
112,41
112,63
112,154
113,25
113,26
113,27
113,42
113,43
113,62
113,154
114,23
114,24
114,44
114,45
114,60
114,61
114,155
114,181
114,182
114,183
115,21
115,22
115,46
115,47
115,48
115,59
115,155
115,178
115,179
115,180
115,184
115,185
115,186
116,20
116,49
116,50
116,51
116,52
116,53
116,54
116,55
116,56
116,57
116,58
116,155
116,177
116,187
116,188
117,18
117,19
117,156
117,175
117,176
117,189
118,18
118,156
118,174
118,190
119,17
119,157
119,173
119,191
120,16
120,157
120,172
120,191
121,15
121,158
121,171
121,192
122,14
122,158
122,170
122,193
123,14
123,159
123,169
123,193
124,13
124,159
124,167
124,168
124,194
125,13
125,160
125,161
125,166
125,194
126,12
126,162
126,163
126,164
126,165
126,195
127,12
127,195
128,11
128,196
129,11
129,196
130,10
130,197
131,10
131,197
132,10
132,198
133,10
133,198
134,9
134,198
135,9
135,199
136,9
136,199
137,9
137,199
138,9
138,199
139,8
139,199
140,8
140,199
141,8
141,200
142,8
142,104
142,105
142,106
142,107
142,108
142,109
142,200
143,8
143,97
143,98
143,99
143,100
143,101
143,102
143,103
143,110
143,111
143,112
143,113
143,114
143,115
143,116
143,117
143,200
144,8
144,94
144,95
144,96
144,118
144,119
144,120
144,200
145,8
145,91
145,92
145,93
145,121
145,122
145,123
145,200
146,8
146,89
146,90
146,124
146,125
146,126
146,200
147,7
147,88
147,127
147,128
147,200
148,7
148,87
148,129
148,130
148,200
149,7
149,85
149,86
149,131
149,132
149,200
150,7
150,84
150,133
150,200
151,7
151,83
151,134
151,135
151,201
152,7
152,82
152,136
152,201
153,7
153,81
153,137
153,201
154,7
154,80
154,138
154,201
155,7
155,80
155,139
155,201
156,7
156,80
156,139
156,201
157,7
157,80
157,139
157,201
158,7
158,80
158,139
158,201
159,7
159,81
159,138
159,200
160,7
160,81
160,138
160,200
161,7
161,82
161,137
161,200
162,7
162,82
162,136
162,200
163,7
163,83
163,136
163,200
164,7
164,83
164,135
164,200
165,7
165,84
165,134
165,200
166,7
166,84
166,134
166,200
167,7
167,85
167,133
