x,y,order
6,148,0
6,149,1
6,150,2
6,151,3
6,152,4
6,153,5
6,154,6
6,155,7
6,156,8
6,157,9
6,158,10
6,159,11
6,160,12
6,161,13
6,162,14
6,163,15
6,164,16
6,165,17
6,166,18
6,167,19
7,168,20
7,169,21
7,170,22
7,171,23
8,172,24
8,173,25
8,174,26
9,175,27
9,176,28
9,177,29
10,178,30
10,179,31
10,180,32
11,181,33
11,182,34
12,183,35
13,184,36
13,185,37
14,186,38
14,187,39
15,188,40
16,189,41
17,190,42
18,190,43
19,191,44
20,191,45
21,191,46
22,191,47
23,191,48
24,190,49
25,189,50
26,189,51
27,188,52
28,187,53
29,187,54
30,186,55
31,186,56
32,185,57
33,185,58
34,185,59
35,184,60
36,184,61
37,184,62
38,184,63
39,184,64
40,184,65
41,184,66
42,184,67
43,185,68
44,185,69
45,185,70
46,186,71
47,187,72
48,187,73
49,188,74
50,189,75
50,190,76
51,191,77
52,192,78
52,193,79
53,194,80
54,195,81
54,196,82
54,197,83
55,198,84
55,199,85
56,200,86
56,201,87
56,202,88
57,203,89
57,204,90
57,205,91
57,206,92
58,207,93
58,208,94
58,209,95
58,210,96
58,211,97
59,212,98
59,213,99
59,214,100
59,215,101
59,216,102
59,217,103
59,218,104
59,219,105
59,220,106
59,221,107
59,222,108
59,223,109
59,224,110
59,225,111
59,226,112
59,227,113
59,228,114
59,229,115
59,230,116
59,231,117
59,232,118
59,233,119
59,234,120
59,235,121
59,236,122
58,237,123
58,238,124
58,239,125
58,240,126
58,241,127
57,242,128
57,243,129
57,244,130
56,245,131
56,246,132
55,247,133
55,248,134
55,249,135
56,249,136
57,249,137
58,249,138
59,250,139
60,250,140
61,250,141
62,250,142
63,249,143
64,249,144
65,249,145
66,249,146
67,249,147
68,249,148
69,248,149
70,248,150
71,248,151
72,248,152
73,248,153
74,248,154
75,248,155
76,248,156
77,248,157
78,247,158
79,247,159
80,247,160
81,247,161
82,247,162
83,247,163
84,247,164
85,247,165
86,247,166
87,247,167
88,247,168
89,247,169
90,247,170
91,247,171
92,247,172
93,247,173
94,247,174
95,247,175
96,247,176
97,248,177
98,248,178
99,248,179
100,248,180
101,248,181
102,248,182
103,248,183
104,248,184
105,249,185
106,249,186
107,249,187
108,249,188
109,250,189
110,250,190
111,250,191
112,250,192
113,251,193
114,251,194
115,252,195
116,252,196
117,253,197
118,253,198
119,253,199
120,254,200
121,255,201
122,255,202
123,256,203
124,257,204
125,257,205
126,258,206
127,259,207
128,260,208
129,261,209
130,262,210
131,263,211
131,264,212
132,265,213
132,266,214
132,267,215
132,268,216
132,269,217
131,270,218
131,271,219
130,272,220
130,273,221
129,274,222
128,275,223
127,276,224
126,277,225
126,278,226
125,279,227
125,280,228
125,281,229
125,282,230
125,283,231
125,284,232
126,285,233
126,286,234
127,286,235
128,287,236
129,288,237
130,289,238
131,290,239
132,290,240
133,290,241
134,291,242
135,291,243
136,292,244
137,292,245
138,292,246
139,292,247
140,293,248
141,293,249
142,293,250
143,293,251
144,293,252
145,293,253
146,294,254
147,294,255
148,294,256
149,294,257
150,294,258
151,294,259
152,294,260
153,294,261
154,294,262
155,294,263
156,294,264
157,294,265
158,294,266
159,293,267
160,293,268
161,293,269
162,293,270
163,293,271
164,293,272
165,293,273
166,292,274
167,292,275
168,292,276
169,292,277
170,291,278
171,291,279
172,291,280
173,291,281
174,290,282
175,290,283
176,289,284
177,289,285
178,288,286
179,288,287
180,287,288
181,287,289
182,286,290
183,285,291
184,284,292
185,283,293
186,282,294
186,281,295
187,280,296
187,279,297
187,278,298
187,277,299
187,276,300
187,275,301
187,274,302
186,273,303
186,272,304
185,271,305
185,270,306
184,269,307
184,268,308
184,267,309
184,266,310
184,265,311
184,264,312
184,263,313
184,262,314
184,261,315
184,260,316
185,259,317
185,258,318
186,257,319
186,256,320
187,255,321
188,254,322
189,253,323
190,252,324
191,251,325
192,251,326
193,250,327
194,250,328
195,249,329
196,249,330
197,249,331
198,248,332
199,248,333
200,248,334
201,248,335
202,247,336
203,247,337
204,247,338
205,247,339
206,247,340
207,247,341
208,247,342
209,247,343
210,246,344
211,246,345
212,246,346
213,246,347
214,246,348
215,246,349
216,246,350
217,246,351
218,246,352
219,246,353
220,246,354
221,246,355
222,246,356
223,246,357
224,246,358
225,247,359
226,247,360
227,247,361
228,247,362
229,247,363
230,247,364
231,247,365
232,247,366
233,247,367
234,247,368
235,247,369
236,247,370
237,247,371
238,247,372
239,247,373
240,247,374
241,247,375
242,247,376
242,246,377
241,245,378
241,244,379
240,243,380
240,242,381
240,241,382
239,240,383
239,239,384
238,238,385
238,237,386
238,236,387
237,235,388
237,234,389
236,233,390
236,232,391
236,231,392
236,230,393
235,229,394
235,228,395
235,227,396
234,226,397
234,225,398
234,224,399
234,223,400
233,222,401
233,221,402
233,220,403
233,219,404
232,218,405
232,217,406
232,216,407
232,215,408
232,214,409
232,213,410
232,212,411
232,211,412
232,210,413
231,209,414
231,208,415
231,207,416
231,206,417
231,205,418
231,204,419
231,203,420
231,202,421
231,201,422
231,200,423
232,199,424
232,198,425
232,197,426
232,196,427
232,195,428
232,194,429
233,193,430
233,192,431
233,191,432
234,190,433
234,189,434
235,188,435
235,187,436
236,186,437
237,185,438
238,184,439
239,183,440
240,182,441
241,182,442
242,181,443
243,180,444
244,180,445
245,180,446
246,179,447
247,179,448
248,179,449
249,179,450
250,178,451
251,178,452
252,178,453
253,178,454
254,178,455
255,178,456
256,178,457
257,178,458
258,178,459
259,178,460
260,178,461
261,178,462
262,178,463
263,178,464
264,179,465
265,179,466
266,179,467
267,179,468
268,179,469
269,179,470
270,179,471
271,179,472
272,179,473
273,179,474
274,179,475
275,179,476
276,179,477
277,179,478
278,179,479
279,179,480
280,179,481
281,178,482
282,178,483
283,178,484
284,177,485
285,177,486
286,176,487
287,176,488
288,176,489
289,175,490
290,174,491
291,173,492
292,172,493
293,171,494
294,170,495
294,169,496
295,168,497
295,167,498
296,166,499
296,165,500
297,164,501
297,163,502
298,162,503
298,161,504
298,160,505
298,159,506
299,158,507
299,157,508
299,156,509
299,155,510
300,154,511
300,153,512
300,152,513
300,151,514
300,150,515
299,149,516
299,148,517
299,147,518
299,146,519
298,145,520
298,144,521
298,143,522
297,142,523
297,141,524
296,140,525
296,139,526
295,138,527
294,137,528
293,136,529
293,135,530
292,135,531
291,134,532
290,133,533
289,133,534
288,132,535
287,132,536
286,132,537
285,131,538
284,131,539
283,131,540
282,131,541
281,131,542
280,131,543
279,131,544
278,131,545
277,131,546
276,131,547
275,131,548
274,131,549
273,131,550
272,131,551
271,131,552
270,131,553
269,131,554
268,132,555
267,132,556
266,132,557
265,132,558
264,132,559
263,132,560
262,132,561
261,132,562
260,132,563
259,132,564
258,132,565
257,132,566
256,132,567
255,132,568
254,132,569
253,132,570
252,132,571
251,132,572
250,132,573
249,132,574
248,132,575
247,131,576
246,131,577
245,130,578
244,130,579
243,129,580
242,129,581
