x,y,order
4,197,0
4,198,1
4,199,2
4,200,3
4,201,4
4,202,5
4,203,6
4,204,7
4,205,8
4,206,9
4,207,10
4,208,11
4,209,12
4,210,13
5,211,14
5,212,15
5,213,16
5,214,17
5,215,18
5,216,19
5,217,20
6,218,21
6,219,22
6,220,23
6,221,24
7,222,25
7,223,26
7,224,27
8,225,28
8,226,29
8,227,30
8,228,31
9,229,32
9,230,33
9,231,34
10,232,35
10,233,36
10,234,37
11,235,38
11,236,39
11,237,40
12,238,41
12,239,42
12,240,43
13,241,44
13,242,45
14,243,46
14,244,47
14,245,48
15,246,49
16,247,50
17,248,51
17,249,52
18,250,53
19,250,54
20,250,55
21,250,56
22,250,57
23,251,58
24,251,59
25,251,60
26,252,61
27,252,62
28,252,63
29,253,64
30,253,65
31,253,66
32,253,67
33,254,68
34,254,69
35,254,70
36,254,71
37,254,72
38,255,73
39,255,74
40,255,75
41,255,76
42,255,77
43,255,78
44,256,79
45,256,80
46,256,81
47,256,82
48,256,83
49,256,84
50,256,85
51,256,86
52,256,87
53,256,88
54,256,89
55,256,90
56,256,91
57,256,92
58,256,93
59,256,94
60,256,95
61,256,96
62,256,97
63,256,98
64,256,99
65,256,100
66,256,101
67,256,102
68,256,103
69,256,104
70,256,105
71,256,106
72,255,107
73,255,108
74,255,109
75,255,110
76,255,111
77,254,112
78,254,113
79,254,114
80,254,115
81,253,116
82,253,117
83,253,118
84,252,119
85,252,120
86,251,121
87,251,122
88,250,123
89,249,124
90,249,125
91,248,126
92,247,127
93,246,128
93,245,129
94,244,130
95,243,131
95,242,132
95,241,133
96,240,134
96,239,135
96,238,136
96,237,137
96,236,138
96,235,139
96,234,140
96,233,141
95,232,142
95,231,143
95,230,144
95,229,145
94,228,146
94,227,147
93,226,148
93,225,149
92,224,150
92,223,151
91,222,152
91,221,153
90,220,154
90,219,155
89,218,156
88,217,157
88,216,158
88,215,159
88,214,160
88,213,161
88,212,162
88,211,163
88,210,164
88,209,165
89,208,166
89,207,167
90,206,168
91,205,169
92,204,170
93,203,171
94,202,172
95,201,173
96,201,174
97,200,175
98,199,176
99,199,177
100,198,178
101,197,179
102,197,180
103,196,181
104,196,182
105,195,183
106,195,184
107,194,185
108,194,186
109,193,187
110,193,188
111,193,189
112,193,190
113,192,191
114,192,192
115,192,193
116,192,194
117,192,195
118,191,196
119,191,197
120,191,198
121,191,199
122,191,200
123,192,201
124,192,202
125,192,203
126,192,204
127,192,205
128,193,206
129,193,207
130,194,208
131,194,209
132,195,210
133,195,211
134,196,212
135,197,213
136,197,214
137,198,215
137,199,216
138,200,217
139,201,218
140,202,219
140,203,220
139,204,221
139,205,222
139,206,223
139,207,224
138,208,225
138,209,226
138,210,227
138,211,228
137,212,229
137,213,230
137,214,231
136,215,232
136,216,233
136,217,234
135,218,235
135,219,236
135,220,237
134,221,238
134,222,239
134,223,240
133,224,241
133,225,242
133,226,243
133,227,244
132,228,245
132,229,246
132,230,247
132,231,248
132,232,249
131,233,250
131,234,251
131,235,252
131,236,253
131,237,254
131,238,255
132,239,256
132,240,257
132,241,258
133,242,259
133,243,260
134,244,261
135,245,262
136,246,263
137,247,264
138,248,265
139,249,266
140,249,267
141,250,268
142,250,269
143,251,270
144,251,271
145,252,272
146,252,273
147,252,274
148,253,275
149,253,276
150,253,277
151,254,278
152,254,279
153,254,280
154,254,281
155,254,282
156,254,283
157,254,284
158,254,285
159,254,286
160,254,287
161,254,288
162,254,289
163,254,290
164,254,291
165,254,292
166,254,293
167,254,294
168,254,295
169,254,296
170,254,297
171,254,298
172,254,299
173,254,300
174,254,301
175,253,302
176,253,303
177,253,304
178,253,305
179,253,306
180,253,307
181,252,308
182,252,309
183,252,310
184,252,311
185,252,312
186,252,313
187,252,314
188,251,315
189,251,316
190,251,317
191,251,318
192,250,319
193,250,320
194,250,321
195,250,322
196,249,323
197,249,324
198,249,325
199,249,326
200,249,327
201,249,328
201,248,329
201,247,330
201,246,331
201,245,332
201,244,333
201,243,334
201,242,335
201,241,336
201,240,337
201,239,338
201,238,339
201,237,340
201,236,341
202,235,342
202,234,343
202,233,344
202,232,345
203,231,346
203,230,347
203,229,348
203,228,349
203,227,350
203,226,351
203,225,352
203,224,353
203,223,354
203,222,355
203,221,356
203,220,357
203,219,358
203,218,359
203,217,360
203,216,361
203,215,362
203,214,363
203,213,364
203,212,365
203,211,366
203,210,367
203,209,368
203,208,369
203,207,370
203,206,371
203,205,372
203,204,373
203,203,374
203,202,375
203,201,376
203,200,377
203,199,378
203,198,379
203,197,380
203,196,381
203,195,382
203,194,383
203,193,384
203,192,385
203,191,386
203,190,387
203,189,388
203,188,389
203,187,390
203,186,391
203,185,392
203,184,393
203,183,394
203,182,395
203,181,396
203,180,397
203,179,398
203,178,399
203,177,400
203,176,401
203,175,402
203,174,403
203,173,404
203,172,405
203,171,406
203,170,407
203,169,408
203,168,409
203,167,410
203,166,411
203,165,412
203,164,413
203,163,414
203,162,415
203,161,416
203,160,417
203,159,418
203,158,419
203,157,420
203,156,421
203,155,422
203,154,423
203,153,424
203,152,425
203,151,426
203,150,427
203,149,428
203,148,429
203,147,430
203,146,431
203,145,432
203,144,433
203,143,434
203,142,435
203,141,436
203,140,437
203,139,438
203,138,439
203,137,440
203,136,441
203,135,442
203,134,443
203,133,444
203,132,445
203,131,446
203,130,447
203,129,448
203,128,449
203,127,450
203,126,451
203,125,452
203,124,453
203,123,454
203,122,455
203,121,456
203,120,457
203,119,458
203,118,459
203,117,460
203,116,461
203,115,462
203,114,463
203,113,464
203,112,465
203,111,466
203,110,467
203,109,468
203,108,469
203,107,470
203,106,471
203,105,472
203,104,473
203,103,474
203,102,475
203,101,476
203,100,477
203,99,478
203,98,479
203,97,480
203,96,481
203,95,482
203,94,483
203,93,484
203,92,485
203,91,486
203,90,487
203,89,488
203,88,489
203,87,490
203,86,491
203,85,492
203,84,493
203,83,494
203,82,495
203,81,496
203,80,497
203,79,498
203,78,499
203,77,500
203,76,501
203,75,502
203,74,503
203,73,504
203,72,505
203,71,506
203,70,507
203,69,508
203,68,509
203,67,510
203,66,511
203,65,512
203,64,513
203,63,514
202,63,515
201,63,516
200,63,517
199,64,518
198,64,519
197,65,520
196,65,521
195,66,522
194,66,523
193,67,524
192,67,525
191,68,526
190,68,527
189,69,528
188,69,529
187,70,530
186,70,531
185,71,532
184,71,533
183,72,534
182,72,535
181,73,536
180,73,537
179,74,538
178,74,539
177,75,540
176,75,541
175,76,542
174,76,543
173,77,544
172,77,545
171,77,546
170,78,547
169,78,548
168,78,549
167,79,550
166,79,551
165,79,552
164,80,553
163,80,554
162,80,555
161,80,556
160,80,557
159,81,558
158,81,559
157,81,560
156,81,561
155,81,562
154,81,563
153,81,564
152,81,565
151,81,566
150,81,567
149,81,568
148,81,569
147,80,570
146,80,571
145,80,572
144,80,573
143,79,574
142,79,575
141,78,576
140,77,577
140,76,578
139,75,579
138,74,580
137,73,581
137,72,582
136,71,583
135,70,584
135,69,585
134,68,586
134,67,587
134,66,588
133,65,589
133,64,590
133,63,591
133,62,592
133,61,593
132,60,594
132,59,595
132,58,596
132,57,597
132,56,598
133,55,599
133,54,600
133,53,601
133,52,602
133,51,603
133,50,604
134,49,605
134,48,606
134,47,607
134,46,608
135,45,609
135,44,610
135,43,611
135,42,612
136,41,613
136,40,614
136,39,615
136,38,616
137,37,617
137,36,618
137,35,619
137,34,620
137,33,621
137,32,622
137,31,623
137,30,624
137,29,625
136,28,626
136,27,627
136,26,628
135,25,629
135,24,630
135,23,631
134,22,632
133,21,633
133,20,634
132,19,635
131,18,636
130,17,637
129,16,638
128,15,639
127,14,640
126,14,641
125,13,642
124,12,643
123,11,644
122,11,645
121,10,646
120,9,647
119,8,648
118,8,649
117,7,650
116,7,651
115,6,652
114,6,653
113,6,654
112,5,655
111,5,656
110,5,657
109,5,658
108,5,659
107,5,660
106,5,661
105,5,662
104,5,663
103,5,664
102,5,665
101,6,666
100,6,667
99,7,668
98,7,669
97,8,670
97,9,671
96,10,672
95,11,673
95,12,674
94,13,675
94,14,676
94,15,677
94,16,678
93,17,679
93,18,680
93,19,681
93,20,682
93,21,683
93,22,684
92,23,685
92,24,686
92,25,687
92,26,688
92,27,689
92,28,690
92,29,691
92,30,692
92,31,693
92,32,694
92,33,695
92,34,696
92,35,697
92,36,698
92,37,699
92,38,700
92,39,701
92,40,702
92,41,703
92,42,704
92,43,705
92,44,706
92,45,707
92,46,708
92,47,709
92,48,710
92,49,711
92,50,712
92,51,713
92,52,714
92,53,715
92,54,716
92,55,717
92,56,718
92,57,719
92,58,720
92,59,721
92,60,722
92,61,723
91,62,724
91,63,725
91,64,726
90,65,727
90,66,728
90,67,729
89,68,730
88,69,731
87,70,732
86,71,733
85,72,734
84,72,735
83,73,736
82,74,737
81,74,738
80,75,739
79,75,740
78,75,741
77,76,742
76,76,743
75,76,744
74,76,745
73,76,746
72,76,747
71,76,748
70,76,749
69,76,750
68,76,751
67,76,752
66,76,753
65,76,754
64,76,755
63,76,756
62,76,757
61,76,758
60,76,759
59,76,760
58,76,761
57,75,762
56,75,763
55,75,764
54,75,765
53,74,766
52,74,767
51,74,768
50,74,769
49,73,770
48,73,771
47,73,772
46,72,773
45,72,774
44,72,775
43,72,776
42,71,777
41,71,778
40,71,779
39,70,780
38,70,781
37,69,782
36,69,783
35,69,784
34,68,785
33,68,786
32,68,787
31,67,788
30,67,789
29,66,790
28,66,791
27,65,792
26,65,793
25,65,794
24,64,795
23,64,796
22,64,797
21,63,798
20,63,799
19,62,800
18,62,801
17,61,802
16,61,803
15,61,804
15,62,805
14,63,806
13,64,807
13,65,808
14,66,809
14,67,810
13,68,811
13,69,812
13,70,813
13,71,814
12,72,815
12,73,816
12,74,817
11,75,818
11,76,819
11,77,820
10,78,821
10,79,822
10,80,823
9,81,824
9,82,825
9,83,826
9,84,827
8,85,828
8,86,829
8,87,830
8,88,831
7,89,832
7,90,833
7,91,834
7,92,835
7,93,836
6,94,837
6,95,838
6,96,839
6,97,840
6,98,841
5,99,842
5,100,843
5,101,844
5,102,845
5,103,846
5,104,847
5,105,848
5,106,849
5,107,850
5,108,851
5,109,852
5,110,853
5,111,854
5,112,855
6,113,856
6,114,857
6,115,858
6,116,859
7,117,860
7,118,861
7,119,862
8,120,863
8,121,864
9,122,865
10,123,866
10,124,867
11,125,868
12,126,869
13,127,870
14,128,871
15,128,872
16,129,873
17,130,874
18,130,875
19,130,876
20,131,877
21,131,878
22,131,879
23,132,880
24,132,881
25,132,882
26,132,883
27,132,884
28,132,885
29,132,886
30,132,887
31,132,888
32,132,889
33,132,890
34,132,891
35,132,892
36,132,893
37,132,894
38,132,895
39,132,896
40,132,897
41,131,898
42,131,899
43,131,900
44,131,901
45,131,902
46,131,903
47,131,904
48,131,905
49,131,906
50,131,907
51,130,908
52,130,909
53,130,910
54,130,911
55,131,912
56,131,913
57,131,914
58,131,915
59,131,916
60,132,917
61,132,918
62,132,919
63,133,920
64,134,921
65,134,922
66,135,923
67,136,924
68,137,925
68,138,926
69,139,927
70,140,928
70,141,929
71,142,930
71,143,931
71,144,932
72,145,933
72,146,934
72,147,935
72,148,936
73,149,937
73,150,938
73,151,939
73,152,940
73,153,941
72,154,942
72,155,943
72,156,944
72,157,945
71,158,946
71,159,947
71,160,948
70,161,949
70,162,950
70,163,951
69,164,952
69,165,953
68,166,954
68,167,955
67,168,956
66,169,957
65,170,958
64,171,959
63,172,960
62,173,961
61,174,962
60,174,963
59,175,964
58,175,965
57,176,966
56,176,967
55,176,968
54,177,969
53,177,970
52,177,971
51,177,972
50,177,973
49,177,974
48,177,975
47,177,976
46,177,977
45,177,978
44,177,979
43,177,980
42,177,981
41,177,982
40,177,983
39,177,984
38,177,985
37,177,986
36,176,987
35,176,988
34,176,989
33,176,990
32,176,991
31,176,992
30,176,993
29,176,994
28,176,995
27,176,996
26,176,997
25,176,998
24,176,999
23,177,1000
22,177,1001
21,177,1002
20,177,1003
19,178,1004
18,178,1005
17,179,1006
16,179,1007
15,179,1008
14,180,1009
13,181,1010
12,181,1011
11,182,1012
10,183,1013
10,184,1014
9,185,1015
8,186,1016
7,187,1017
7,188,1018
7,189,1019
6,190,1020
6,191,1021
6,192,1022
5,193,1023
5,194,1024
5,195,1025
5,196,1026
