x,y,order
8,36,0
8,37,1
8,38,2
8,39,3
8,40,4
8,41,5
8,42,6
8,43,7
8,44,8
8,45,9
8,46,10
8,47,11
8,48,12
8,49,13
8,50,14
8,51,15
8,52,16
8,53,17
8,54,18
9,55,19
9,56,20
9,57,21
9,58,22
10,59,23
10,60,24
10,61,25
11,62,26
11,63,27
11,64,28
12,65,29
13,66,30
13,67,31
14,68,32
15,69,33
16,70,34
17,71,35
18,72,36
19,73,37
20,73,38
21,74,39
22,74,40
23,74,41
24,75,42
25,75,43
26,75,44
27,75,45
28,75,46
29,75,47
30,75,48
31,75,49
32,75,50
33,75,51
34,75,52
35,74,53
36,74,54
37,74,55
38,74,56
39,73,57
40,73,58
41,73,59
42,73,60
43,72,61
44,72,62
45,72,63
46,71,64
47,71,65
48,71,66
49,71,67
50,71,68
51,71,69
52,71,70
53,71,71
54,71,72
55,71,73
56,71,74
57,71,75
58,72,76
59,72,77
60,73,78
61,73,79
62,74,80
63,74,81
64,75,82
65,76,83
66,77,84
66,78,85
67,79,86
68,80,87
69,81,88
69,82,89
70,83,90
70,84,91
70,85,92
71,86,93
71,87,94
71,88,95
72,89,96
72,90,97
72,91,98
72,92,99
72,93,100
72,94,101
72,95,102
72,96,103
72,97,104
72,98,105
72,99,106
72,100,107
72,101,108
72,102,109
71,103,110
71,104,111
71,105,112
71,106,113
70,107,114
70,108,115
69,109,116
69,110,117
68,111,118
68,112,119
67,113,120
66,114,121
66,115,122
65,116,123
64,117,124
63,118,125
62,119,126
61,119,127
60,120,128
59,120,129
58,121,130
57,121,131
56,121,132
55,121,133
54,121,134
53,121,135
52,121,136
51,120,137
50,120,138
49,120,139
48,120,140
47,120,141
46,119,142
45,119,143
44,119,144
43,119,145
42,118,146
41,118,147
40,118,148
39,118,149
38,117,150
37,117,151
36,117,152
35,117,153
34,117,154
33,117,155
32,117,156
31,117,157
30,117,158
29,117,159
28,118,160
27,118,161
26,118,162
25,118,163
24,119,164
23,119,165
22,120,166
21,120,167
20,121,168
19,121,169
18,122,170
17,123,171
16,123,172
15,124,173
14,125,174
14,126,175
13,127,176
12,128,177
12,129,178
11,130,179
11,131,180
10,132,181
10,133,182
10,134,183
9,135,184
9,136,185
9,137,186
9,138,187
8,139,188
8,140,189
8,141,190
8,142,191
8,143,192
8,144,193
8,145,194
8,146,195
8,147,196
8,148,197
8,149,198
8,150,199
8,151,200
8,152,201
8,153,202
8,154,203
8,155,204
8,156,205
9,157,206
9,158,207
9,159,208
9,160,209
9,161,210
9,162,211
9,163,212
10,164,213
10,165,214
10,166,215
10,167,216
10,168,217
11,169,218
11,170,219
11,171,220
11,172,221
11,173,222
12,174,223
12,175,224
12,176,225
12,177,226
13,178,227
13,179,228
13,180,229
13,181,230
14,182,231
14,183,232
14,184,233
14,185,234
14,186,235
15,187,236
15,188,237
15,189,238
15,190,239
15,191,240
16,192,241
17,192,242
18,192,243
19,193,244
20,193,245
21,193,246
22,194,247
23,194,248
24,195,249
25,195,250
26,195,251
27,196,252
28,196,253
29,197,254
30,197,255
31,197,256
32,198,257
33,198,258
34,198,259
35,199,260
36,199,261
37,199,262
38,200,263
39,200,264
40,200,265
41,201,266
42,201,267
43,202,268
44,202,269
45,202,270
46,202,271
47,203,272
48,203,273
49,203,274
50,204,275
51,204,276
52,204,277
53,205,278
54,205,279
55,205,280
56,205,281
57,205,282
58,206,283
59,206,284
60,206,285
61,206,286
62,206,287
63,206,288
64,206,289
65,206,290
66,207,291
67,207,292
68,207,293
69,207,294
70,207,295
71,207,296
72,206,297
73,206,298
74,206,299
75,206,300
76,206,301
77,206,302
78,205,303
79,205,304
80,205,305
81,204,306
82,204,307
83,203,308
84,203,309
85,202,310
86,201,311
87,201,312
88,200,313
89,199,314
90,198,315
90,197,316
91,196,317
91,195,318
92,194,319
92,193,320
92,192,321
92,191,322
93,190,323
93,189,324
93,188,325
93,187,326
93,186,327
93,185,328
93,184,329
93,183,330
94,182,331
94,181,332
94,180,333
94,179,334
94,178,335
94,177,336
94,176,337
94,175,338
94,174,339
94,173,340
94,172,341
94,171,342
94,170,343
93,169,344
93,168,345
93,167,346
93,166,347
93,165,348
93,164,349
93,163,350
93,162,351
93,161,352
93,160,353
93,159,354
93,158,355
93,157,356
93,156,357
93,155,358
94,154,359
94,153,360
94,152,361
94,151,362
94,150,363
94,149,364
94,148,365
94,147,366
94,146,367
95,145,368
95,144,369
95,143,370
96,142,371
96,141,372
97,140,373
97,139,374
98,138,375
99,137,376
100,136,377
101,136,378
102,135,379
103,135,380
104,135,381
105,135,382
106,135,383
107,135,384
108,135,385
109,135,386
110,135,387
111,135,388
112,135,389
113,136,390
114,136,391
115,136,392
116,137,393
117,138,394
118,138,395
119,139,396
120,139,397
121,140,398
122,141,399
123,142,400
124,142,401
125,143,402
126,144,403
127,145,404
128,146,405
129,147,406
130,148,407
131,149,408
132,150,409
133,151,410
133,152,411
134,153,412
134,154,413
135,155,414
135,156,415
135,157,416
136,158,417
136,159,418
136,160,419
136,161,420
136,162,421
136,163,422
136,164,423
136,165,424
135,166,425
135,167,426
135,168,427
135,169,428
135,170,429
134,171,430
134,172,431
134,173,432
134,174,433
133,175,434
133,176,435
133,177,436
133,178,437
132,179,438
132,180,439
132,181,440
132,182,441
132,183,442
132,184,443
132,185,444
131,186,445
131,187,446
131,188,447
132,189,448
132,190,449
132,191,450
132,192,451
132,193,452
132,194,453
133,195,454
133,196,455
133,197,456
134,198,457
134,199,458
135,200,459
135,201,460
136,202,461
137,203,462
137,204,463
138,205,464
139,206,465
140,207,466
140,208,467
141,209,468
142,209,469
143,210,470
144,210,471
145,210,472
146,210,473
147,211,474
148,211,475
149,211,476
150,211,477
151,211,478
152,211,479
153,211,480
154,211,481
155,211,482
156,211,483
157,211,484
158,211,485
159,211,486
160,210,487
161,210,488
162,210,489
163,210,490
164,210,491
165,209,492
166,209,493
167,209,494
168,209,495
169,208,496
170,208,497
171,208,498
172,207,499
173,207,500
174,206,501
175,206,502
176,206,503
177,205,504
178,205,505
179,204,506
180,204,507
181,203,508
182,203,509
183,202,510
184,202,511
185,201,512
186,201,513
187,200,514
188,200,515
189,199,516
190,199,517
191,198,518
192,197,519
193,197,520
194,197,521
195,196,522
196,196,523
197,195,524
198,194,525
199,194,526
200,193,527
201,193,528
202,193,529
203,192,530
203,191,531
203,190,532
203,189,533
203,188,534
203,187,535
203,186,536
203,185,537
203,184,538
203,183,539
203,182,540
203,181,541
203,180,542
203,179,543
203,178,544
203,177,545
203,176,546
203,175,547
203,174,548
203,173,549
203,172,550
203,171,551
203,170,552
203,169,553
203,168,554
203,167,555
203,166,556
203,165,557
203,164,558
203,163,559
203,162,560
203,161,561
203,160,562
203,159,563
203,158,564
203,157,565
203,156,566
203,155,567
203,154,568
203,153,569
203,152,570
203,151,571
203,150,572
203,149,573
203,148,574
203,147,575
203,146,576
203,145,577
203,144,578
203,143,579
203,142,580
203,141,581
203,140,582
203,139,583
203,138,584
203,137,585
203,136,586
203,135,587
203,134,588
203,133,589
203,132,590
203,131,591
203,130,592
203,129,593
203,128,594
203,127,595
203,126,596
203,125,597
203,124,598
203,123,599
203,122,600
203,121,601
203,120,602
203,119,603
203,118,604
203,117,605
203,116,606
203,115,607
203,114,608
203,113,609
203,112,610
203,111,611
203,110,612
203,109,613
203,108,614
203,107,615
203,106,616
203,105,617
203,104,618
203,103,619
203,102,620
203,101,621
203,100,622
203,99,623
203,98,624
203,97,625
203,96,626
203,95,627
203,94,628
203,93,629
203,92,630
203,91,631
203,90,632
203,89,633
203,88,634
203,87,635
203,86,636
203,85,637
203,84,638
203,83,639
203,82,640
203,81,641
203,80,642
203,79,643
203,78,644
203,77,645
203,76,646
203,75,647
203,74,648
203,73,649
203,72,650
203,71,651
203,70,652
203,69,653
203,68,654
203,67,655
203,66,656
203,65,657
203,64,658
203,63,659
203,62,660
203,61,661
203,60,662
203,59,663
203,58,664
203,57,665
203,56,666
203,55,667
203,54,668
203,53,669
203,52,670
203,51,671
203,50,672
203,49,673
203,48,674
203,47,675
203,46,676
203,45,677
203,44,678
203,43,679
203,42,680
203,41,681
203,40,682
203,39,683
203,38,684
203,37,685
203,36,686
203,35,687
203,34,688
203,33,689
203,32,690
203,31,691
203,30,692
203,29,693
203,28,694
203,27,695
203,26,696
203,25,697
203,24,698
203,23,699
203,22,700
203,21,701
203,20,702
203,19,703
203,18,704
203,17,705
203,16,706
203,15,707
203,14,708
203,13,709
202,12,710
202,11,711
202,10,712
202,9,713
201,8,714
201,7,715
202,6,716
201,5,717
200,5,718
199,5,719
198,5,720
197,5,721
196,5,722
195,5,723
194,5,724
193,5,725
192,5,726
191,5,727
190,5,728
189,5,729
188,5,730
187,5,731
186,5,732
185,5,733
184,5,734
183,5,735
182,5,736
181,5,737
180,5,738
179,5,739
178,5,740
177,5,741
176,5,742
175,5,743
174,5,744
173,5,745
172,5,746
171,5,747
170,5,748
169,5,749
168,5,750
167,5,751
166,5,752
165,5,753
164,5,754
163,5,755
162,5,756
161,5,757
160,5,758
159,5,759
158,5,760
157,5,761
156,5,762
155,5,763
154,5,764
153,5,765
152,5,766
151,5,767
150,5,768
149,5,769
148,5,770
147,5,771
146,5,772
145,5,773
144,5,774
143,5,775
142,5,776
141,5,777
140,5,778
139,5,779
138,5,780
137,5,781
136,5,782
135,5,783
134,5,784
133,5,785
132,5,786
131,5,787
130,5,788
129,5,789
128,5,790
127,5,791
126,5,792
125,5,793
124,5,794
123,5,795
122,5,796
121,5,797
120,5,798
119,5,799
118,5,800
117,5,801
116,5,802
115,5,803
114,5,804
113,5,805
112,5,806
111,5,807
110,5,808
109,5,809
108,5,810
107,5,811
106,5,812
105,5,813
104,5,814
103,5,815
102,5,816
101,5,817
100,5,818
99,5,819
98,5,820
97,5,821
96,5,822
95,5,823
94,5,824
93,5,825
92,5,826
91,5,827
90,5,828
89,5,829
88,5,830
87,5,831
86,5,832
85,5,833
84,5,834
83,5,835
82,5,836
81,5,837
80,5,838
79,5,839
78,5,840
77,5,841
76,5,842
75,5,843
74,5,844
73,5,845
72,5,846
71,5,847
70,5,848
69,5,849
68,5,850
67,5,851
66,5,852
65,5,853
64,5,854
63,5,855
62,5,856
61,5,857
60,5,858
59,5,859
58,5,860
57,5,861
56,5,862
55,5,863
54,5,864
53,5,865
52,5,866
51,5,867
50,5,868
49,5,869
48,5,870
47,5,871
46,5,872
45,5,873
44,5,874
43,5,875
42,5,876
41,5,877
40,5,878
39,5,879
38,5,880
37,5,881
36,5,882
35,5,883
34,5,884
33,5,885
32,5,886
31,5,887
30,5,888
29,5,889
28,5,890
27,5,891
26,5,892
25,5,893
24,5,894
23,5,895
22,5,896
21,5,897
20,5,898
19,5,899
18,5,900
17,5,901
16,5,902
15,5,903
15,6,904
15,7,905
15,8,906
14,9,907
14,10,908
14,11,909
14,12,910
13,13,911
13,14,912
13,15,913
13,16,914
12,17,915
12,18,916
12,19,917
11,20,918
11,21,919
11,22,920
11,23,921
10,24,922
10,25,923
10,26,924
10,27,925
10,28,926
9,29,927
9,30,928
9,31,929
9,32,930
9,33,931
9,34,932
9,35,933
