x,y,order
10,83,0
10,84,1
10,85,2
10,86,3
10,87,4
10,88,5
10,89,6
10,90,7
10,91,8
10,92,9
10,93,10
10,94,11
10,95,12
10,96,13
10,97,14
10,98,15
10,99,16
10,100,17
10,101,18
10,102,19
10,103,20
10,104,21
11,105,22
11,106,23
11,107,24
11,108,25
11,109,26
12,110,27
12,111,28
13,112,29
13,113,30
13,114,31
14,115,32
14,116,33
15,117,34
15,118,35
16,119,36
17,120,37
18,120,38
19,121,39
20,121,40
21,121,41
22,121,42
23,122,43
24,121,44
25,120,45
26,120,46
27,119,47
28,118,48
29,117,49
30,116,50
31,115,51
32,114,52
33,113,53
34,112,54
35,112,55
36,111,56
37,111,57
38,110,58
39,110,59
40,110,60
41,110,61
42,110,62
43,111,63
44,111,64
45,112,65
46,113,66
47,114,67
48,115,68
48,116,69
49,117,70
50,118,71
51,119,72
51,120,73
52,121,74
53,122,75
53,123,76
54,124,77
54,125,78
55,126,79
55,127,80
55,128,81
56,129,82
56,130,83
56,131,84
56,132,85
57,133,86
57,134,87
57,135,88
57,136,89
57,137,90
58,138,91
58,139,92
58,140,93
58,141,94
58,142,95
58,143,96
58,144,97
58,145,98
58,146,99
58,147,100
58,148,101
59,149,102
59,150,103
59,151,104
59,152,105
59,153,106
59,154,107
59,155,108
59,156,109
59,157,110
59,158,111
58,159,112
58,160,113
58,161,114
58,162,115
58,163,116
58,164,117
58,165,118
58,166,119
58,167,120
58,168,121
58,169,122
58,170,123
58,171,124
58,172,125
58,173,126
58,174,127
58,175,128
58,176,129
58,177,130
58,178,131
57,179,132
57,180,133
57,181,134
57,182,135
57,183,136
57,184,137
57,185,138
57,186,139
57,187,140
57,188,141
57,189,142
57,190,143
58,191,144
59,191,145
60,192,146
61,193,147
62,193,148
63,193,149
64,194,150
65,194,151
66,194,152
67,195,153
68,195,154
69,195,155
70,196,156
71,196,157
72,196,158
73,196,159
74,197,160
75,197,161
76,197,162
77,197,163
78,197,164
79,197,165
80,198,166
81,198,167
82,198,168
83,198,169
84,198,170
85,198,171
86,199,172
87,199,173
88,199,174
89,199,175
90,199,176
91,199,177
92,199,178
93,199,179
94,199,180
95,199,181
96,199,182
97,199,183
98,199,184
99,199,185
100,200,186
101,200,187
102,199,188
103,199,189
104,199,190
105,199,191
106,199,192
107,199,193
108,199,194
109,199,195
110,199,196
111,198,197
112,198,198
113,198,199
114,198,200
115,198,201
116,197,202
117,197,203
118,197,204
119,196,205
120,196,206
121,195,207
122,195,208
123,194,209
124,193,210
125,193,211
126,192,212
127,191,213
127,190,214
128,189,215
129,188,216
129,187,217
130,186,218
130,185,219
130,184,220
131,183,221
131,182,222
131,181,223
131,180,224
131,179,225
131,178,226
131,177,227
131,176,228
131,175,229
131,174,230
131,173,231
131,172,232
131,171,233
131,170,234
130,169,235
130,168,236
130,167,237
130,166,238
129,165,239
128,164,240
127,163,241
127,162,242
126,161,243
125,160,244
125,159,245
124,158,246
124,157,247
124,156,248
123,155,249
123,154,250
123,153,251
123,152,252
123,151,253
123,150,254
123,149,255
124,148,256
124,147,257
125,146,258
125,145,259
126,144,260
127,143,261
128,142,262
129,141,263
130,140,264
131,140,265
132,139,266
133,139,267
134,138,268
135,138,269
136,138,270
137,137,271
138,137,272
139,137,273
140,137,274
141,136,275
142,136,276
143,136,277
144,136,278
145,136,279
146,136,280
147,136,281
148,136,282
149,136,283
150,136,284
151,136,285
152,136,286
153,136,287
154,136,288
155,137,289
156,137,290
157,137,291
158,137,292
159,138,293
160,138,294
161,138,295
162,139,296
163,139,297
164,140,298
165,140,299
166,141,300
167,142,301
168,143,302
169,144,303
170,145,304
170,146,305
171,147,306
172,148,307
172,149,308
172,150,309
173,151,310
173,152,311
173,153,312
174,154,313
