x,y
6,148
6,149
6,150
6,151
6,152
6,153
6,154
6,155
6,156
6,157
6,158
6,159
6,160
6,161
6,162
6,163
6,164
6,165
6,166
6,167
7,144
7,145
7,146
7,147
7,168
7,169
7,170
7,171
8,142
8,143
8,172
8,173
8,174
9,140
9,141
9,175
9,176
9,177
10,138
10,139
10,178
10,179
10,180
11,137
11,181
11,182
12,136
12,183
13,135
13,184
13,185
14,134
14,186
14,187
15,133
15,188
16,132
16,189
17,131
17,190
18,130
18,190
19,130
19,191
20,130
20,191
21,130
21,191
22,130
22,191
23,131
23,191
24,131
24,190
25,132
25,189
26,132
26,189
27,133
27,188
28,133
28,187
29,134
29,187
30,134
30,186
31,135
31,186
32,135
32,185
33,135
33,185
34,135
34,185
35,136
35,184
36,136
36,184
37,136
37,184
38,136
38,184
39,136
39,184
40,136
40,184
41,135
41,184
42,135
42,184
43,135
43,185
44,134
44,185
45,134
45,185
46,133
46,186
47,132
47,187
48,131
48,187
49,130
49,188
50,128
50,129
50,189
50,190
51,127
51,191
52,125
52,126
52,192
52,193
53,122
53,123
53,124
53,194
54,119
54,120
54,121
54,195
54,196
54,197
55,116
55,117
55,118
55,198
55,199
55,247
55,248
55,249
56,61
56,62
56,63
56,111
56,112
56,113
56,114
56,115
56,200
56,201
56,202
56,245
56,246
56,249
57,62
57,64
57,65
57,104
57,105
57,106
57,107
57,108
57,109
57,110
57,203
57,204
57,205
57,206
57,242
57,243
57,244
57,249
58,63
58,66
58,67
58,68
58,69
58,70
58,71
58,72
58,73
58,74
58,75
58,76
58,77
58,78
58,79
58,80
58,81
58,82
58,83
58,84
58,87
58,88
58,89
58,90
58,91
58,92
58,93
58,94
58,95
58,96
58,97
58,98
58,99
58,100
58,101
58,102
58,103
58,207
58,208
58,209
58,210
58,211
58,237
58,238
58,239
58,240
58,241
58,249
59,63
59,85
59,86
59,212
59,213
59,214
59,215
59,216
59,217
59,218
59,219
59,220
59,221
59,222
59,223
59,224
59,225
59,226
59,227
59,228
59,229
59,230
59,231
59,232
59,233
59,234
59,235
59,236
59,250
60,64
60,250
61,64
61,250
62,64
62,250
63,65
63,249
64,65
64,249
65,65
65,249
66,66
66,249
67,66
67,249
68,66
68,249
69,67
69,248
70,67
70,248
71,67
71,248
72,67
72,248
73,68
73,248
74,68
74,248
75,68
75,248
76,68
76,248
77,68
77,248
78,69
78,247
79,69
79,247
80,69
80,247
81,69
81,247
82,69
82,247
83,70
83,247
84,70
84,247
85,70
85,247
86,70
86,247
87,70
87,247
88,70
88,247
89,70
89,247
90,70
90,247
91,70
91,247
92,70
92,247
93,71
93,247
94,71
94,247
95,71
95,247
96,71
96,247
97,71
97,248
98,71
98,248
99,71
99,248
100,71
100,248
101,71
101,248
102,71
102,248
103,71
103,248
104,71
104,248
105,70
105,249
106,70
106,249
107,70
107,249
108,70
108,249
109,70
109,250
110,70
110,250
111,69
111,250
112,69
112,250
113,69
113,251
114,69
114,251
115,68
115,252
116,68
116,252
117,67
117,253
118,67
118,253
119,66
119,253
120,66
120,254
121,20
121,21
121,22
121,23
121,24
121,25
121,26
121,27
121,28
121,65
121,255
122,18
122,19
122,29
122,30
122,65
122,255
123,17
123,31
123,32
123,64
123,256
124,15
124,16
124,33
124,34
124,63
124,257
125,15
125,35
125,62
125,257
125,279
125,280
125,281
125,282
125,283
125,284
126,14
126,36
126,37
126,61
126,258
126,277
126,278
126,285
126,286
127,13
127,38
127,59
127,60
127,259
127,276
127,286
128,12
128,39
128,40
128,57
128,58
128,260
128,275
128,287
129,11
129,41
129,42
129,43
129,44
129,45
129,46
129,47
129,52
129,53
129,54
129,55
129,56
129,261
129,274
129,288
130,11
130,48
130,49
130,50
130,51
130,262
130,272
130,273
130,289
131,10
131,263
131,264
131,270
131,271
131,290
132,10
132,265
132,266
132,267
132,268
132,269
132,290
133,9
133,290
134,9
134,291
135,9
135,291
136,8
136,292
137,8
137,292
138,8
138,292
139,8
139,292
140,7
140,293
141,7
141,293
142,7
142,293
143,7
143,293
144,7
144,293
145,7
145,293
146,7
146,294
147,7
147,294
148,7
148,294
149,7
149,294
150,7
150,294
151,7
151,294
152,7
152,294
153,7
153,294
154,8
154,294
155,8
155,294
156,8
156,294
157,8
157,294
158,9
158,294
159,9
159,293
160,9
160,293
161,10
161,293
162,10
162,293
163,11
163,293
164,12
164,45
164,46
164,47
164,48
164,49
164,50
164,51
164,52
164,53
164,54
164,293
165,12
165,43
165,44
165,55
165,56
165,293
166,13
166,40
166,41
166,42
166,57
166,58
166,292
167,14
167,38
167,39
167,59
167,60
167,292
168,14
168,36
168,37
168,61
168,292
169,15
169,16
169,34
169,35
169,62
169,292
170,17
170,33
170,62
170,291
171,18
171,19
171,31
171,32
171,63
171,291
172,20
172,21
172,22
172,30
172,64
172,291
173,23
173,24
173,25
173,26
173,28
173,29
173,65
173,291
174,27
174,65
174,290
175,66
175,290
176,66
176,289
177,67
177,289
178,67
178,288
179,68
179,288
180,68
180,287
181,69
181,287
182,69
182,286
183,69
183,285
184,69
184,260
184,261
184,262
184,263
184,264
184,265
184,266
184,267
184,268
184,269
184,284
185,70
185,258
185,259
185,270
185,271
185,283
186,70
186,256
186,257
186,272
186,273
186,281
186,282
187,70
187,255
187,274
187,275
187,276
187,277
187,278
187,279
187,280
188,70
188,254
189,70
189,253
190,71
190,252
191,71
191,251
192,71
192,251
193,71
193,250
194,71
194,250
195,71
195,249
196,71
196,249
197,71
197,249
198,71
198,248
199,71
199,248
200,72
200,248
201,72
201,248
202,72
202,247
203,72
203,247
204,72
204,247
205,72
205,247
206,72
206,247
207,71
207,247
208,71
208,247
209,71
209,247
210,71
210,246
211,71
211,246
212,71
212,246
213,71
213,246
214,71
214,246
215,71
215,246
216,71
216,246
217,71
217,246
218,70
218,246
219,70
219,246
220,70
220,246
221,70
221,246
222,70
222,246
223,70
223,246
224,69
224,246
225,69
225,247
226,69
226,247
227,69
227,247
228,68
228,247
229,68
229,247
230,68
230,247
231,67
231,200
231,201
231,202
231,203
231,204
231,205
231,206
231,207
231,208
231,209
231,247
232,67
232,100
232,101
232,102
232,103
232,104
232,105
232,106
232,107
232,108
232,109
232,110
232,111
232,112
232,113
232,114
232,194
232,195
232,196
232,197
232,198
232,199
232,210
232,211
232,212
232,213
232,214
232,215
232,216
232,217
232,218
232,247
233,67
233,94
233,95
233,96
233,97
233,98
233,99
233,115
233,116
233,117
233,191
233,192
233,193
233,219
233,220
233,221
233,222
233,247
234,66
234,90
234,91
234,92
234,93
234,118
234,119
234,189
234,190
234,223
234,224
234,225
234,226
234,247
235,66
235,86
235,87
235,88
235,89
235,120
235,121
235,187
235,188
235,227
235,228
235,229
235,247
236,66
236,82
236,83
236,84
236,85
236,122
236,186
236,230
236,231
236,232
236,233
236,247
237,65
237,79
237,80
237,81
237,123
237,124
237,185
237,234
237,235
237,247
238,65
238,76
238,77
238,78
238,125
238,184
238,236
238,237
238,238
238,247
239,64
239,72
239,73
239,74
239,75
239,126
239,183
239,239
239,240
239,247
240,64
240,69
240,70
240,71
240,127
240,182
240,241
240,242
240,243
240,247
241,62
241,63
241,66
241,67
241,68
241,128
241,182
241,244
241,245
241,247
242,61
242,65
242,129
242,181
242,246
242,247
242,248
243,62
243,63
243,64
243,129
243,180
243,248
244,130
244,180
245,130
245,180
246,131
246,179
247,131
247,179
248,132
248,179
249,132
249,179
250,132
250,178
251,132
251,178
252,132
252,178
253,132
253,178
254,132
254,178
255,132
255,178
256,132
256,178
257,132
257,178
258,132
258,178
259,132
259,178
260,132
260,178
261,132
261,178
262,132
262,178
263,132
263,178
264,132
264,179
265,132
265,179
266,132
266,179
267,132
267,179
268,132
268,179
269,131
269,179
270,131
270,179
271,131
271,179
272,131
272,179
273,131
273,179
274,131
274,179
275,131
275,179
276,131
276,179
277,131
277,179
278,131
278,179
279,131
279,179
280,131
280,179
281,131
281,178
282,131
282,178
283,131
283,178
284,131
284,177
285,131
285,177
286,132
286,176
287,132
287,176
288,132
288,176
289,133
289,175
290,133
290,174
291,134
291,173
292,135
292,172
293,135
293,136
293,171
294,137
294,169
294,170
295,138
295,167
295,168
296,139
296,140
296,165
296,166
297,141
297,142
297,163
297,164
298,143
298,144
298,145
298,159
298,160
298,161
298,162
299,146
299,147
299,148
299,149
299,155
299,156
299,157
299,158
300,150
300,151
300,152
300,153
300,154
