x,y
4,197
4,198
4,199
4,200
4,201
4,202
4,203
4,204
4,205
4,206
4,207
4,208
4,209
4,210
5,99
5,100
5,101
5,102
5,103
5,104
5,105
5,106
5,107
5,108
5,109
5,110
5,111
5,112
5,193
5,194
5,195
5,196
5,211
5,212
5,213
5,214
5,215
5,216
5,217
6,94
6,95
6,96
6,97
6,98
6,113
6,114
6,115
6,116
6,190
6,191
6,192
6,218
6,219
6,220
6,221
7,89
7,90
7,91
7,92
7,93
7,117
7,118
7,119
7,187
7,188
7,189
7,222
7,223
7,224
8,85
8,86
8,87
8,88
8,120
8,121
8,186
8,225
8,226
8,227
8,228
9,81
9,82
9,83
9,84
9,122
9,185
9,229
9,230
9,231
10,78
10,79
10,80
10,123
10,124
10,183
10,184
10,232
10,233
10,234
11,75
11,76
11,77
11,125
11,182
11,235
11,236
11,237
12,72
12,73
12,74
12,126
12,181
12,238
12,239
12,240
13,64
13,65
13,68
13,69
13,70
13,71
13,127
13,181
13,241
13,242
14,63
14,66
14,67
14,128
14,180
14,243
14,244
14,245
15,61
15,62
15,128
15,179
15,246
16,61
16,129
16,179
16,247
17,61
17,130
17,179
17,248
17,249
18,62
18,130
18,178
18,250
19,62
19,130
19,178
19,250
20,63
20,131
20,177
20,250
21,63
21,131
21,177
21,250
22,64
22,131
22,177
22,250
23,64
23,132
23,177
23,251
24,64
24,132
24,176
24,251
25,65
25,132
25,176
25,251
26,65
26,132
26,176
26,252
27,65
27,132
27,176
27,252
28,66
28,132
28,176
28,252
29,66
29,132
29,176
29,253
30,67
30,132
30,176
30,253
31,67
31,132
31,176
31,253
32,68
32,132
32,176
32,253
33,68
33,132
33,176
33,254
34,68
34,132
34,176
34,254
35,69
35,132
35,176
35,254
36,69
36,132
36,176
36,254
37,69
37,132
37,177
37,254
38,70
38,132
38,177
38,255
39,70
39,132
39,177
39,255
40,71
40,132
40,177
40,255
41,71
41,131
41,177
41,255
42,71
42,131
42,177
42,255
43,72
43,131
43,177
43,255
44,72
44,131
44,177
44,256
45,72
45,131
45,177
45,256
46,72
46,131
46,177
46,256
47,73
47,131
47,177
47,256
48,73
48,131
48,177
48,256
49,73
49,131
49,177
49,256
50,74
50,131
50,177
50,256
51,74
51,130
51,177
51,256
52,74
52,130
52,177
52,256
53,74
53,130
53,177
53,256
54,75
54,130
54,177
54,256
55,75
55,131
55,176
55,256
56,75
56,131
56,176
56,256
57,75
57,131
57,176
57,256
58,76
58,131
58,175
58,256
59,76
59,131
59,175
59,256
60,76
60,132
60,174
60,256
61,76
61,132
61,174
61,256
62,76
62,132
62,173
62,256
63,76
63,133
63,172
63,256
64,76
64,134
64,171
64,256
65,76
65,134
65,170
65,256
66,76
66,135
66,169
66,256
67,76
67,136
67,168
67,256
68,76
68,137
68,138
68,166
68,167
68,256
69,76
69,139
69,164
69,165
69,256
70,76
70,140
70,141
70,161
70,162
70,163
70,256
71,76
71,142
71,143
71,144
71,158
71,159
71,160
71,256
72,76
72,145
72,146
72,147
72,148
72,154
72,155
72,156
72,157
72,255
73,76
73,149
73,150
73,151
73,152
73,153
73,255
74,76
74,255
75,76
75,255
76,76
76,255
77,76
77,254
78,75
78,254
79,75
79,254
80,75
80,254
81,74
81,253
82,74
82,253
83,73
83,253
84,72
84,252
85,72
85,252
86,71
86,251
87,70
87,251
88,69
88,209
88,210
88,211
88,212
88,213
88,214
88,215
88,216
88,217
88,250
89,68
89,207
89,208
89,218
89,249
90,65
90,66
90,67
90,206
90,219
90,220
90,249
91,62
91,63
91,64
91,205
91,221
91,222
91,248
92,23
92,24
92,25
92,26
92,27
92,28
92,29
92,30
92,31
92,32
92,33
92,34
92,35
92,36
92,37
92,38
92,39
92,40
92,41
92,42
92,43
92,44
92,45
92,46
92,47
92,48
92,49
92,50
92,51
92,52
92,53
92,54
92,55
92,56
92,57
92,58
92,59
92,60
92,61
92,204
92,223
92,224
92,247
93,17
93,18
93,19
93,20
93,21
93,22
93,203
93,225
93,226
93,245
93,246
94,13
94,14
94,15
94,16
94,202
94,227
94,228
94,244
95,11
95,12
95,201
95,229
95,230
95,231
95,232
95,241
95,242
95,243
96,10
96,201
96,233
96,234
96,235
96,236
96,237
96,238
96,239
96,240
97,8
97,9
97,200
98,7
98,199
99,7
99,199
100,6
100,198
101,6
101,197
102,5
102,197
103,5
103,196
104,5
104,196
105,5
105,195
106,5
106,195
107,5
107,194
108,5
108,194
109,5
109,193
110,5
110,193
111,5
111,193
112,5
112,193
113,6
113,192
114,6
114,192
115,6
115,192
116,7
116,192
117,7
117,192
118,8
118,191
119,8
119,191
120,9
120,191
121,10
121,191
122,11
122,191
123,11
123,192
124,12
124,192
125,13
125,192
126,14
126,192
127,14
127,192
128,15
128,193
129,16
129,193
130,17
130,194
131,18
131,194
131,233
131,234
131,235
131,236
131,237
131,238
132,19
132,56
132,57
132,58
132,59
132,60
132,195
132,228
132,229
132,230
132,231
132,232
132,239
132,240
132,241
133,20
133,21
133,50
133,51
133,52
133,53
133,54
133,55
133,61
133,62
133,63
133,64
133,65
133,195
133,224
133,225
133,226
133,227
133,242
133,243
134,22
134,46
134,47
134,48
134,49
134,66
134,67
134,68
134,196
134,221
134,222
134,223
134,244
135,23
135,24
135,25
135,42
135,43
135,44
135,45
135,69
135,70
135,197
135,218
135,219
135,220
135,245
136,26
136,27
136,28
136,38
136,39
136,40
136,41
136,71
136,197
136,215
136,216
136,217
136,246
137,29
137,30
137,31
137,32
137,33
137,34
137,35
137,36
137,37
137,72
137,73
137,198
137,199
137,212
137,213
137,214
137,247
138,74
138,200
138,208
138,209
138,210
138,211
138,248
139,75
139,201
139,204
139,205
139,206
139,207
139,249
140,76
140,77
140,202
140,203
140,249
141,78
141,250
142,79
142,250
143,79
143,251
144,80
144,251
145,80
145,252
146,80
146,252
147,80
147,252
148,81
148,253
149,81
149,253
150,81
150,253
151,81
151,254
152,81
152,254
153,81
153,254
154,81
154,254
155,81
155,254
156,81
156,254
157,81
157,254
158,81
158,254
159,81
159,254
160,80
160,254
161,80
161,254
162,80
162,254
163,80
163,254
164,80
164,254
165,79
165,254
166,79
166,254
167,79
