x,y
7,145
7,146
7,147
7,148
7,149
7,150
7,151
7,152
7,153
7,154
7,155
7,156
8,141
8,142
8,143
8,144
8,157
8,158
8,159
8,160
8,161
9,138
9,139
9,140
9,162
9,163
9,164
9,165
10,136
10,137
10,166
10,167
10,168
11,134
11,135
11,169
11,170
11,171
12,132
12,133
12,172
12,173
13,131
13,174
13,175
14,129
14,130
14,176
15,129
15,177
15,178
16,128
16,179
16,180
17,127
17,181
18,126
18,182
19,126
19,183
20,125
20,184
21,125
21,185
22,125
22,185
23,125
23,186
24,126
24,186
25,126
25,186
26,126
26,185
27,127
27,185
28,128
28,184
29,129
29,183
30,129
30,183
31,130
31,182
32,130
32,181
33,131
33,180
34,131
34,179
35,132
35,179
36,132
36,178
37,133
37,177
38,133
38,177
39,133
39,176
40,134
40,176
41,134
41,175
42,134
42,175
43,133
43,175
44,133
44,175
45,133
45,175
46,133
46,175
47,132
47,175
48,132
48,176
49,131
49,176
50,131
50,177
51,130
51,178
52,129
52,179
53,128
53,180
54,126
54,127
54,181
55,125
55,182
56,123
56,124
56,183
57,121
57,122
57,184
57,185
58,119
58,120
58,186
59,115
59,116
59,117
59,118
59,187
59,188
60,112
60,113
60,114
60,189
60,190
60,191
61,109
61,110
61,111
61,192
61,193
62,64
62,65
62,66
62,103
62,104
62,105
62,106
62,107
62,108
62,194
62,195
62,196
62,197
62,198
62,236
62,237
62,238
62,239
62,240
62,241
62,242
62,243
62,244
62,245
62,246
62,247
62,248
63,64
63,67
63,68
63,69
63,70
63,71
63,72
63,73
63,74
63,94
63,95
63,96
63,97
63,98
63,99
63,100
63,101
63,102
63,199
63,200
63,201
63,202
63,203
63,204
63,205
63,223
63,224
63,225
63,226
63,227
63,228
63,229
63,230
63,231
63,232
63,233
63,234
63,235
63,248
64,64
64,75
64,76
64,77
64,78
64,79
64,80
64,81
64,82
64,83
64,84
64,85
64,86
64,87
64,88
64,89
64,90
64,91
64,92
64,93
64,206
64,207
64,208
64,209
64,210
64,211
64,212
64,213
64,214
64,215
64,216
64,217
64,218
64,219
64,220
64,221
64,222
64,248
65,65
65,248
66,65
66,248
67,65
67,248
68,66
68,248
69,66
69,248
70,67
70,248
71,67
71,248
72,67
72,248
73,67
73,248
74,68
74,248
75,68
75,248
76,68
76,248
77,69
77,248
78,69
78,248
79,69
79,248
80,69
80,248
81,70
81,248
82,70
82,248
83,70
83,248
84,70
84,248
85,70
85,248
86,70
86,248
87,70
87,248
88,71
88,248
89,71
89,248
90,71
90,248
91,71
91,248
92,71
92,248
93,71
93,248
94,71
94,248
95,71
95,248
96,71
96,248
97,72
97,248
98,72
98,248
99,72
99,248
100,72
100,248
101,72
101,248
102,72
102,248
103,72
103,248
104,72
104,248
105,72
105,248
106,72
106,248
107,72
107,248
108,72
108,248
109,72
109,248
110,72
110,248
111,71
111,248
112,71
112,248
113,71
113,248
114,71
114,248
115,71
115,248
116,71
116,248
117,71
117,248
118,71
118,248
119,70
119,248
120,70
120,248
121,70
121,248
122,70
122,248
123,69
123,248
124,69
124,248
125,69
125,248
126,69
126,248
127,68
127,248
128,68
128,248
129,67
129,248
130,67
130,248
131,66
131,248
132,25
132,26
132,27
132,28
132,29
132,30
132,31
132,32
132,66
132,248
133,23
133,24
133,33
133,34
133,35
133,65
133,248
134,22
134,36
134,64
134,248
135,21
135,37
135,38
135,63
135,248
136,20
136,39
136,40
136,62
136,248
137,19
137,41
137,42
137,61
137,248
138,18
138,43
138,44
138,59
138,60
138,248
139,17
139,45
139,46
139,47
139,48
139,57
139,58
139,249
140,16
140,49
140,50
140,51
140,52
140,53
140,54
140,55
140,56
140,249
141,16
141,249
142,15
142,249
143,14
143,249
144,13
144,249
145,13
145,249
146,12
146,249
147,12
147,249
148,11
148,249
149,11
149,249
150,10
150,249
151,10
151,249
152,9
152,249
153,9
153,249
154,9
154,249
155,8
155,249
156,8
156,249
157,8
157,249
158,8
158,248
159,8
159,248
160,7
160,248
161,7
161,248
162,7
162,248
163,7
163,248
164,7
164,248
165,7
165,248
166,7
166,248
167,7
167,248
168,7
168,248
169,7
169,248
170,7
170,248
171,7
171,248
172,8
172,248
173,8
173,248
174,8
174,248
175,9
175,248
176,9
176,248
177,10
177,47
177,48
177,49
177,50
177,51
177,52
177,53
177,54
177,248
178,10
178,43
178,44
178,45
178,46
178,55
178,56
178,57
178,248
179,11
179,40
179,41
179,42
179,58
179,59
179,248
180,11
180,37
180,38
180,39
180,60
180,248
181,12
181,34
181,35
181,36
181,61
181,248
182,13
182,30
182,31
182,32
182,33
182,62
182,248
183,14
183,27
183,28
183,29
183,63
183,248
184,15
184,24
184,25
184,26
184,63
184,248
185,16
185,19
185,20
185,21
185,22
185,23
185,64
185,248
186,17
186,18
186,65
186,248
187,65
187,248
188,66
188,248
189,66
189,248
190,67
190,248
191,67
191,248
192,68
192,248
193,68
193,248
194,68
194,248
195,69
195,248
196,69
196,248
197,69
197,248
198,69
198,248
199,69
199,248
200,69
200,248
201,69
201,248
202,70
202,248
203,70
203,248
204,70
204,248
205,70
205,248
206,70
206,248
207,70
207,248
208,70
208,248
209,70
209,248
210,70
210,248
211,70
211,248
212,70
212,248
213,69
213,248
214,69
214,248
215,69
215,248
216,69
216,248
217,69
217,248
218,69
218,248
219,69
219,248
220,69
220,248
221,69
221,248
222,69
222,248
223,68
223,248
224,68
224,248
225,68
225,248
226,68
226,248
227,68
227,248
228,67
228,248
229,67
229,248
230,67
230,248
231,67
231,248
232,67
232,248
233,66
233,248
234,66
234,248
235,66
235,248
236,66
236,248
237,65
237,248
238,65
238,248
239,65
239,248
240,65
240,248
241,65
241,248
242,64
242,248
243,64
243,248
244,64
244,248
245,64
245,248
246,64
246,65
246,66
246,67
246,68
246,69
246,70
246,71
246,72
246,73
246,74
246,75
246,76
246,77
246,78
246,79
246,243
246,245
246,246
246,247
246,248
247,80
247,81
247,82
247,83
247,236
247,237
247,238
247,239
247,240
247,241
247,242
247,244
248,84
248,85
248,86
248,87
248,88
248,89
248,90
248,91
248,92
248,93
248,94
248,95
248,96
248,97
248,98
248,99
248,100
248,101
248,102
248,103
248,104
248,105
248,106
248,107
248,108
248,109
248,110
248,111
248,112
248,113
248,114
248,115
248,116
248,117
248,118
248,119
248,120
248,121
248,122
248,123
248,124
248,125
248,126
248,127
248,128
248,129
248,130
248,131
248,132
248,133
248,134
248,135
248,136
248,137
248,138
248,139
248,140
248,141
248,142
248,143
248,144
248,145
248,146
248,147
248,148
248,149
248,150
248,151
248,152
248,153
248,154
248,155
248,156
248,157
248,158
248,159
248,160
248,161
248,162
248,163
248,164
248,165
248,166
248,167
248,168
248,169
248,170
248,171
248,172
248,173
248,174
248,175
248,176
248,177
248,178
248,179
248,180
248,181
248,182
248,183
248,184
248,185
248,186
248,187
