x,y,order
4,73,0
4,74,1
4,75,2
4,76,3
4,77,4
4,78,5
4,79,6
4,80,7
4,81,8
4,82,9
4,83,10
4,84,11
4,85,12
4,86,13
4,87,14
4,88,15
4,89,16
4,90,17
4,91,18
4,92,19
4,93,20
4,94,21
4,95,22
4,96,23
4,97,24
4,98,25
4,99,26
4,100,27
4,101,28
4,102,29
4,103,30
4,104,31
4,105,32
4,106,33
4,107,34
4,108,35
4,109,36
4,110,37
4,111,38
4,112,39
4,113,40
4,114,41
4,115,42
4,116,43
4,117,44
4,118,45
4,119,46
4,120,47
4,121,48
4,122,49
4,123,50
4,124,51
4,125,52
4,126,53
4,127,54
4,128,55
4,129,56
4,130,57
4,131,58
4,132,59
4,133,60
4,134,61
4,135,62
4,136,63
4,137,64
4,138,65
4,139,66
4,140,67
4,141,68
4,142,69
4,143,70
4,144,71
4,145,72
4,146,73
4,147,74
4,148,75
4,149,76
4,150,77
4,151,78
4,152,79
4,153,80
4,154,81
4,155,82
4,156,83
4,157,84
4,158,85
4,159,86
4,160,87
4,161,88
4,162,89
4,163,90
4,164,91
4,165,92
4,166,93
4,167,94
4,168,95
4,169,96
4,170,97
4,171,98
4,172,99
4,173,100
4,174,101
4,175,102
4,176,103
4,177,104
4,178,105
4,179,106
4,180,107
4,181,108
4,182,109
4,183,110
4,184,111
4,185,112
4,186,113
4,187,114
4,188,115
4,189,116
4,190,117
4,191,118
4,192,119
4,193,120
4,194,121
4,195,122
4,196,123
4,197,124
4,198,125
4,199,126
4,200,127
4,201,128
4,202,129
4,203,130
4,204,131
4,205,132
4,206,133
4,207,134
4,208,135
4,209,136
4,210,137
4,211,138
4,212,139
4,213,140
4,214,141
4,215,142
4,216,143
4,217,144
4,218,145
4,219,146
4,220,147
4,221,148
4,222,149
4,223,150
4,224,151
4,225,152
4,226,153
4,227,154
4,228,155
4,229,156
4,230,157
4,231,158
4,232,159
5,233,160
5,234,161
5,235,162
5,236,163
5,237,164
5,238,165
5,239,166
6,239,167
7,239,168
8,239,169
9,239,170
10,239,171
11,239,172
12,239,173
13,239,174
14,239,175
15,239,176
16,239,177
17,239,178
18,239,179
19,239,180
20,239,181
21,239,182
22,239,183
23,239,184
24,239,185
25,239,186
26,239,187
27,239,188
28,239,189
29,239,190
30,239,191
31,239,192
32,239,193
33,239,194
34,239,195
35,239,196
36,239,197
37,239,198
38,239,199
39,239,200
40,239,201
41,239,202
42,239,203
43,239,204
44,239,205
45,239,206
46,239,207
47,239,208
48,239,209
49,239,210
50,239,211
51,239,212
52,239,213
53,239,214
54,239,215
55,239,216
56,239,217
57,239,218
58,239,219
59,239,220
60,239,221
61,239,222
62,239,223
63,239,224
64,239,225
65,239,226
66,239,227
67,239,228
68,239,229
69,239,230
70,239,231
71,239,232
72,239,233
73,239,234
74,239,235
75,239,236
76,239,237
77,239,238
78,239,239
79,239,240
80,239,241
81,239,242
82,239,243
83,239,244
84,239,245
85,239,246
86,239,247
87,239,248
88,239,249
89,239,250
90,239,251
91,239,252
92,239,253
93,239,254
94,239,255
95,240,256
96,240,257
97,240,258
98,240,259
99,240,260
100,240,261
101,240,262
102,240,263
103,240,264
104,240,265
105,240,266
106,240,267
107,240,268
108,240,269
109,240,270
110,240,271
111,240,272
112,240,273
113,240,274
114,240,275
115,239,276
116,239,277
117,239,278
118,239,279
119,239,280
120,239,281
121,239,282
122,239,283
123,239,284
124,239,285
125,239,286
126,239,287
127,239,288
128,239,289
129,239,290
130,239,291
131,239,292
132,239,293
133,239,294
134,239,295
135,239,296
136,239,297
137,239,298
138,239,299
139,239,300
140,239,301
141,239,302
142,239,303
143,239,304
144,239,305
145,239,306
146,239,307
147,239,308
148,239,309
149,239,310
150,239,311
151,239,312
152,239,313
153,239,314
154,239,315
155,239,316
156,239,317
157,239,318
158,239,319
159,239,320
160,239,321
161,239,322
162,239,323
163,239,324
164,239,325
165,239,326
166,239,327
167,239,328
168,239,329
169,239,330
170,239,331
171,239,332
172,239,333
173,239,334
174,239,335
175,239,336
176,239,337
177,239,338
178,239,339
179,239,340
180,239,341
181,239,342
182,239,343
183,239,344
184,239,345
185,239,346
186,239,347
187,239,348
188,239,349
189,239,350
190,239,351
191,239,352
192,238,353
192,237,354
192,236,355
193,235,356
193,234,357
194,233,358
194,232,359
195,231,360
196,230,361
196,229,362
196,228,363
197,227,364
197,226,365
198,225,366
198,224,367
199,223,368
199,222,369
200,221,370
200,220,371
201,219,372
201,218,373
202,217,374
202,216,375
202,215,376
203,214,377
203,213,378
204,212,379
204,211,380
205,210,381
205,209,382
205,208,383
206,207,384
206,206,385
206,205,386
207,204,387
207,203,388
207,202,389
208,201,390
208,200,391
208,199,392
208,198,393
209,197,394
209,196,395
209,195,396
209,194,397
209,193,398
209,192,399
209,191,400
209,190,401
209,189,402
209,188,403
209,187,404
209,186,405
209,185,406
209,184,407
208,183,408
208,182,409
208,181,410
208,180,411
207,179,412
206,178,413
206,177,414
205,176,415
204,175,416
203,174,417
202,173,418
201,172,419
200,172,420
199,171,421
198,171,422
197,170,423
196,170,424
195,169,425
194,169,426
193,168,427
192,168,428
191,168,429
190,168,430
189,168,431
188,167,432
187,167,433
186,167,434
185,167,435
184,167,436
183,167,437
182,168,438
181,168,439
180,168,440
179,168,441
178,168,442
177,168,443
176,168,444
175,169,445
174,169,446
173,169,447
172,170,448
171,170,449
170,170,450
169,171,451
168,171,452
167,171,453
166,171,454
165,172,455
164,172,456
163,172,457
162,172,458
161,172,459
160,173,460
159,173,461
158,173,462
157,173,463
156,173,464
155,173,465
154,173,466
153,173,467
152,173,468
151,173,469
150,173,470
149,172,471
148,172,472
147,172,473
146,171,474
145,171,475
144,170,476
143,169,477
142,168,478
141,167,479
140,166,480
139,165,481
139,164,482
138,163,483
137,162,484
137,161,485
136,160,486
136,159,487
136,158,488
135,157,489
135,156,490
135,155,491
135,154,492
135,153,493
135,152,494
135,151,495
135,150,496
135,149,497
135,148,498
136,147,499
136,146,500
136,145,501
137,144,502
137,143,503
137,142,504
138,141,505
138,140,506
139,139,507
140,138,508
140,137,509
141,136,510
142,135,511
143,134,512
144,133,513
145,132,514
146,132,515
147,131,516
148,130,517
149,130,518
150,129,519
151,129,520
152,129,521
153,129,522
154,128,523
155,128,524
156,128,525
157,128,526
158,128,527
159,128,528
160,129,529
161,129,530
162,129,531
163,129,532
164,130,533
165,130,534
166,131,535
167,131,536
168,132,537
169,132,538
170,133,539
171,133,540
172,133,541
173,134,542
174,134,543
175,134,544
176,134,545
177,135,546
178,135,547
179,135,548
180,135,549
181,135,550
182,135,551
183,135,552
184,135,553
185,135,554
186,135,555
187,135,556
188,135,557
189,135,558
190,135,559
191,134,560
192,134,561
193,134,562
194,133,563
195,133,564
196,133,565
197,132,566
198,131,567
199,131,568
200,130,569
201,129,570
202,128,571
203,127,572
203,126,573
204,125,574
205,124,575
205,123,576
206,122,577
206,121,578
207,120,579
207,119,580
207,118,581
208,117,582
208,116,583
208,115,584
208,114,585
208,113,586
209,112,587
209,111,588
209,110,589
209,109,590
209,108,591
209,107,592
209,106,593
209,105,594
209,104,595
209,103,596
209,102,597
208,101,598
208,100,599
208,99,600
208,98,601
208,97,602
207,96,603
207,95,604
207,94,605
207,93,606
206,92,607
206,91,608
206,90,609
205,89,610
205,88,611
205,87,612
204,86,613
204,85,614
204,84,615
203,83,616
203,82,617
202,81,618
202,80,619
201,79,620
201,78,621
201,77,622
200,76,623
200,75,624
199,74,625
199,73,626
198,72,627
198,71,628
197,70,629
197,69,630
197,68,631
196,67,632
196,66,633
196,65,634
195,64,635
195,63,636
194,62,637
194,61,638
194,60,639
193,59,640
193,58,641
193,57,642
193,56,643
192,55,644
191,55,645
190,54,646
189,54,647
188,54,648
187,54,649
186,54,650
185,54,651
184,54,652
183,54,653
182,54,654
181,55,655
180,55,656
179,55,657
178,55,658
177,55,659
176,55,660
175,55,661
174,55,662
173,55,663
172,55,664
171,56,665
170,56,666
169,56,667
168,56,668
167,56,669
166,56,670
165,56,671
164,56,672
163,56,673
162,56,674
161,56,675
160,56,676
159,56,677
158,57,678
157,57,679
156,57,680
155,57,681
154,57,682
153,57,683
152,57,684
151,57,685
150,57,686
149,57,687
148,57,688
147,57,689
146,57,690
145,57,691
144,56,692
143,56,693
142,56,694
141,56,695
140,56,696
139,56,697
138,56,698
137,56,699
136,55,700
135,55,701
134,55,702
133,55,703
132,54,704
131,54,705
130,54,706
129,54,707
128,53,708
127,53,709
126,52,710
125,52,711
124,51,712
123,51,713
122,50,714
121,50,715
120,49,716
119,49,717
118,48,718
117,47,719
116,46,720
115,45,721
114,44,722
113,43,723
113,42,724
112,41,725
112,40,726
112,39,727
112,38,728
113,37,729
113,36,730
114,35,731
114,34,732
115,33,733
116,32,734
117,31,735
117,30,736
118,29,737
119,28,738
120,27,739
121,26,740
122,25,741
123,24,742
123,23,743
124,22,744
124,21,745
124,20,746
124,19,747
123,18,748
123,17,749
122,16,750
121,15,751
120,15,752
119,14,753
118,14,754
117,13,755
116,13,756
115,12,757
114,12,758
113,11,759
112,11,760
111,10,761
110,10,762
109,10,763
108,9,764
107,9,765
106,8,766
105,8,767
104,8,768
103,7,769
102,7,770
101,7,771
100,6,772
99,6,773
98,6,774
97,6,775
96,6,776
95,5,777
94,5,778
93,5,779
92,5,780
91,5,781
90,5,782
89,5,783
88,4,784
87,4,785
86,4,786
85,4,787
84,4,788
83,4,789
82,4,790
81,5,791
80,5,792
79,5,793
78,5,794
77,5,795
76,6,796
75,6,797
74,6,798
73,6,799
72,7,800
71,7,801
70,7,802
69,8,803
68,9,804
67,10,805
66,10,806
65,11,807
64,12,808
63,13,809
62,14,810
62,15,811
