x,y
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
4,68
4,69
4,70
4,71
4,72
4,73
4,74
4,75
4,76
4,77
4,78
4,79
4,80
4,81
4,82
4,83
4,84
4,85
4,86
4,87
4,88
4,89
4,90
4,91
4,92
4,93
4,94
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,103
4,104
4,105
4,106
4,107
4,108
4,109
4,110
4,111
4,112
4,113
4,114
4,115
4,116
4,117
4,118
4,119
4,120
4,121
4,122
4,123
4,124
4,125
4,126
4,127
4,128
4,129
4,130
4,131
4,132
4,133
4,134
4,135
4,136
4,137
4,138
4,139
4,140
4,141
4,142
4,143
4,144
4,145
4,146
4,147
4,148
4,149
4,150
4,151
4,152
4,153
4,154
4,155
4,156
4,157
4,158
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
4,171
4,172
4,173
4,174
4,175
4,176
4,177
4,178
4,179
4,180
4,181
4,182
4,183
4,184
4,185
4,186
4,187
4,188
4,189
4,190
4,191
4,192
5,5
5,6
5,7
5,8
5,191
6,5
6,190
7,5
7,190
8,5
8,190
9,5
9,190
10,5
10,189
11,5
11,189
12,5
12,189
13,5
13,188
14,5
14,188
15,5
15,188
16,5
16,188
17,5
17,187
18,5
18,187
19,5
19,187
20,5
20,187
21,5
21,186
22,5
22,186
23,5
23,186
24,5
24,186
25,5
25,186
26,5
26,186
27,5
27,185
28,5
28,185
29,5
29,185
30,5
30,185
31,5
31,185
32,5
32,185
33,5
33,185
34,5
34,185
35,5
35,185
36,5
36,185
37,5
37,185
38,5
38,185
39,5
39,185
40,5
40,185
41,5
41,185
42,5
42,185
43,5
43,185
44,5
44,185
45,5
45,185
46,5
46,185
47,5
47,185
48,5
48,186
49,5
49,186
50,5
50,186
51,5
51,187
52,5
52,187
53,5
53,187
54,5
54,188
55,5
55,188
56,5
56,189
57,5
57,190
58,5
58,190
59,5
59,191
60,5
60,192
60,223
60,224
60,225
60,226
60,227
60,228
60,229
61,5
61,192
61,220
61,221
61,222
61,230
61,231
61,232
62,5
62,193
62,217
62,218
62,219
62,233
62,234
63,5
63,194
63,215
63,216
63,235
64,5
64,195
64,196
64,211
64,212
64,213
64,214
64,236
65,5
65,197
65,198
65,199
65,200
65,206
65,207
65,208
65,209
65,210
65,237
66,5
66,201
66,202
66,203
66,204
66,205
66,238
67,5
67,239
68,5
68,239
69,5
69,240
70,5
70,241
71,5
71,241
72,5
72,241
73,5
73,242
74,5
74,242
75,5
75,243
76,5
76,243
77,5
77,243
78,5
78,244
79,5
79,244
80,5
80,244
81,5
81,244
82,5
82,245
83,5
83,245
84,5
84,245
85,5
85,245
86,5
86,246
87,5
87,246
88,5
88,246
89,5
89,246
90,5
