x,y
10,83
10,84
10,85
10,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
10,94
10,95
10,96
10,97
10,98
10,99
10,100
10,101
10,102
10,103
10,104
11,78
11,79
11,80
11,81
11,82
11,105
11,106
11,107
11,108
11,109
12,75
12,76
12,77
12,110
12,111
13,72
13,73
13,74
13,112
13,113
13,114
14,70
14,71
14,115
14,116
15,67
15,68
15,69
15,117
15,118
16,66
16,119
17,64
17,65
17,120
18,62
18,63
18,120
19,61
19,121
20,60
20,121
21,59
21,121
22,59
22,121
23,58
23,122
24,58
24,121
25,58
25,120
26,58
26,120
27,59
27,119
28,59
28,118
29,60
29,61
29,117
30,62
30,63
30,116
31,64
31,115
32,65
32,114
33,66
33,113
34,66
34,112
35,67
35,112
36,68
36,111
37,68
37,111
38,69
38,110
39,69
39,110
40,69
40,110
41,69
41,110
42,69
42,110
43,68
43,111
44,68
44,111
45,68
45,112
46,67
46,113
47,67
47,114
48,66
48,115
48,116
49,66
49,117
50,65
50,118
51,64
51,119
51,120
52,63
52,121
53,62
53,122
53,123
54,61
54,124
54,125
55,59
55,60
55,126
55,127
55,128
56,57
56,58
56,129
56,130
56,131
56,132
57,5
57,6
57,54
57,55
57,56
57,133
57,134
57,135
57,136
57,137
57,179
57,180
57,181
57,182
57,183
57,184
57,185
57,186
57,187
57,188
57,189
57,190
58,4
58,7
58,8
58,9
58,10
58,11
58,12
58,13
58,14
58,15
58,50
58,51
58,52
58,53
58,138
58,139
58,140
58,141
58,142
58,143
58,144
58,145
58,146
58,147
58,148
58,159
58,160
58,161
58,162
58,163
58,164
58,165
58,166
58,167
58,168
58,169
58,170
58,171
58,172
58,173
58,174
58,175
58,176
58,177
58,178
58,191
59,5
59,16
59,17
59,18
59,19
59,20
59,21
59,22
59,23
59,24
59,25
59,26
59,27
59,28
59,42
59,43
59,44
59,45
59,46
59,47
59,48
59,49
59,149
59,150
59,151
59,152
59,153
59,154
59,155
59,156
59,157
59,158
59,191
60,5
60,29
60,30
60,31
60,32
60,33
60,34
60,35
60,36
60,37
60,38
60,39
60,40
60,41
60,192
61,5
61,193
62,5
62,193
63,5
63,193
64,5
64,194
65,5
65,194
66,5
66,194
67,5
67,195
68,5
68,195
69,5
69,195
70,5
70,196
71,5
71,196
72,5
72,196
73,5
73,196
74,5
74,197
75,5
75,197
76,5
76,197
77,5
77,197
78,5
78,197
79,5
79,197
80,5
80,198
81,5
81,198
82,5
82,198
83,5
83,198
84,5
84,198
85,5
85,198
86,5
86,199
87,5
87,199
88,5
88,199
89,5
89,199
90,5
90,199
91,5
91,199
92,5
92,199
93,5
93,199
94,5
94,199
95,5
95,199
96,5
96,199
97,5
97,199
98,5
98,199
99,5
99,199
100,5
100,200
101,5
101,200
102,5
102,199
103,5
103,199
104,5
104,199
105,5
105,199
106,5
106,199
107,5
107,199
108,5
108,199
109,5
109,199
110,5
110,199
111,5
111,198
112,5
112,198
113,5
113,198
114,5
114,198
115,5
115,198
116,5
116,197
117,5
117,197
118,5
118,197
119,5
119,196
120,5
120,196
121,5
121,195
122,5
122,195
123,5
123,149
123,150
123,151
123,152
123,153
123,154
123,155
123,194
124,5
124,147
124,148
124,156
124,157
124,158
124,193
125,5
125,145
125,146
125,159
125,160
125,193
126,5
126,144
126,161
126,192
127,5
127,143
